number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.48977522379263	2020-07-25 16:19:05.668185	2020-07-25 16:31:01.045176	0 days 00:11:55.376991000		0.002778859267880203	10	1					COMPLETE
1	0.47864548882979047	2020-07-25 16:31:01.045722	2020-07-25 16:44:06.763174	0 days 00:13:05.717452000	0.1	0.0009622315556404999	6	3		pyramid_2			COMPLETE
2	0.49553178325701114	2020-07-25 16:44:06.763734	2020-07-25 16:55:00.462828	0 days 00:10:53.699094000		0.021734930405629224	7	1					COMPLETE
3	0.4782619296511859	2020-07-25 16:55:00.463348	2020-07-25 17:08:00.545192	0 days 00:13:00.081844000	0.0	0.0005333953097004295	6	3		flat			COMPLETE
4	0.47912364860966566	2020-07-25 17:08:00.545745	2020-07-25 17:33:06.934512	0 days 00:25:06.388767000	0.2	2.7390991096248826e-05	8	2				pyramid_2	COMPLETE
5	0.4783786906565086	2020-07-25 17:33:06.935038	2020-07-25 17:49:37.605640	0 days 00:16:30.670602000	0.2	6.0094971055958114e-05	9	2			flat		COMPLETE
6	0.4780663490044133	2020-07-25 17:49:37.606179	2020-07-25 18:07:05.842714	0 days 00:17:28.236535000	0.25	2.9449177608205855e-05	8	3	pyramid_2				COMPLETE
7	0.48716465855543806	2020-07-25 18:07:05.843309	2020-07-25 18:29:21.194230	0 days 00:22:15.350921000		0.0003258889220300354	9	1					COMPLETE
8	0.47829181932652937	2020-07-25 18:29:21.194750	2020-07-25 18:47:30.437801	0 days 00:18:09.243051000	0.05	1.4720916852099916e-05	10	3					COMPLETE
9	0.47924392338005456	2020-07-25 18:47:30.438381	2020-07-25 18:59:37.276979	0 days 00:12:06.838598000	0.25	0.0006645134881202762	10	3					COMPLETE
10	0.48264831786245493	2020-07-25 18:59:37.277515	2020-07-25 19:24:30.617563	0 days 00:24:53.340048000	0.5	0.00010095460331378648	8	2				flat	COMPLETE
11	0.47935637650360485	2020-07-25 19:24:30.618089	2020-07-25 19:38:53.897096	0 days 00:14:23.279007000	0.4	0.006980862352460511	6	3		flat			COMPLETE
12	0.47776689061790506	2020-07-25 19:38:53.897671	2020-07-25 19:52:21.752968	0 days 00:13:27.855297000	0.35000000000000003	0.0001846647543517887	7	3	pyramid_2				COMPLETE
13	0.47777713561519664	2020-07-25 19:52:21.753502	2020-07-25 20:06:24.659297	0 days 00:14:02.905795000	0.35000000000000003	0.0001426757476424168	7	3	pyramid_2				COMPLETE
14	0.4794191973262685	2020-07-25 20:06:24.659846	2020-07-25 20:20:21.313134	0 days 00:13:56.653288000	0.4	0.00015571219878335836	7	2				pyramid_4	COMPLETE
15	0.4776450320527709	2020-07-25 20:20:21.313697	2020-07-25 20:33:52.894108	0 days 00:13:31.580411000	0.35000000000000003	0.00018177966119965243	7	3	pyramid_2				COMPLETE
16	0.486867948607916	2020-07-25 20:33:52.894655	2020-07-25 20:50:53.054773	0 days 00:17:00.160118000	0.5	0.002476723698093749	7	2				flat	COMPLETE
17	0.4773698767998559	2020-07-25 20:50:53.055321	2020-07-25 21:06:57.696622	0 days 00:16:04.641301000	0.35000000000000003	0.0002086118022267399	7	3	flat				COMPLETE
18	0.4776780255438043	2020-07-25 21:06:57.697147	2020-07-25 21:22:55.235195	0 days 00:15:57.538048000	0.35000000000000003	5.2577467160814144e-05	6	3		pyramid_4			COMPLETE
19	0.4787050326342995	2020-07-25 21:22:55.235764	2020-07-25 21:35:52.292923	0 days 00:12:57.057159000	0.45	0.0016724950188016267	9	2			pyramid_2		COMPLETE
20	0.47763614133469806	2020-07-25 21:35:52.293443	2020-07-25 21:50:55.534751	0 days 00:15:03.241308000	0.30000000000000004	0.0002606814888803285	7	3	flat				COMPLETE
21	0.4775789719743533	2020-07-25 21:50:55.535267	2020-07-25 22:05:58.003904	0 days 00:15:02.468637000	0.30000000000000004	0.00030420729921026987	7	3	flat				COMPLETE
22	0.4776161119496606	2020-07-25 22:05:58.004419	2020-07-25 22:20:59.421931	0 days 00:15:01.417512000	0.30000000000000004	0.00039774706143312627	7	3	flat				COMPLETE
23	0.4780996031356099	2020-07-25 22:20:59.422457	2020-07-25 22:33:28.992097	0 days 00:12:29.569640000	0.15000000000000002	0.0004219353376508827	8	3	flat				COMPLETE
24	0.47797410217849745	2020-07-25 22:33:28.992618	2020-07-25 22:46:48.104004	0 days 00:13:19.111386000	0.30000000000000004	0.0011888900491446692	6	3		pyramid_2			COMPLETE
