number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.48720849553531437	2020-07-25 22:46:51.839227	2020-07-25 23:01:13.237537	0 days 00:14:21.398310000		0.004963095893583932	6	1				COMPLETE
1	0.4870200435906077	2020-07-25 23:01:13.238051	2020-07-25 23:15:31.810612	0 days 00:14:18.572561000		0.001774759778509014	8	1				COMPLETE
2	0.47927692601825034	2020-07-25 23:15:31.811099	2020-07-25 23:28:31.503098	0 days 00:12:59.691999000	0.05	0.020253480949969448	6	2			pyramid_4	COMPLETE
3	0.48604739533409436	2020-07-25 23:28:31.503645	2020-07-25 23:49:53.690079	0 days 00:21:22.186434000		1.65832174512179e-05	7	1				COMPLETE
4	0.4860469171317761	2020-07-25 23:49:53.690605	2020-07-26 00:10:52.162150	0 days 00:20:58.471545000		1.1602309607955354e-05	8	1				COMPLETE
5	0.4860022854145896	2020-07-26 00:10:52.162693	2020-07-26 00:36:52.113229	0 days 00:25:59.950536000		1.096159938847176e-05	6	1				COMPLETE
6	0.4953014086932109	2020-07-26 00:36:52.113794	2020-07-26 00:47:37.991834	0 days 00:10:45.878040000		0.007770180520163562	10	1				COMPLETE
7	0.4863924737495629	2020-07-26 00:47:37.992353	2020-07-26 01:08:38.100409	0 days 00:21:00.108056000		0.00010071246734073505	9	1				COMPLETE
8	0.47907699194277265	2020-07-26 01:08:38.100971	2020-07-26 01:21:37.625513	0 days 00:12:59.524542000	0.1	0.0028839859374118803	8	3	flat			COMPLETE
9	0.5348778283736371	2020-07-26 01:21:37.626025	2020-07-26 01:32:24.074282	0 days 00:10:46.448257000		0.024993781961231674	9	1				COMPLETE
10	0.47812459794578516	2020-07-26 01:32:24.074818	2020-07-26 01:44:53.925880	0 days 00:12:29.851062000	0.25	0.00033193695993159473	10	3				COMPLETE
11	0.47775806433471074	2020-07-26 01:44:53.926404	2020-07-26 01:57:22.656436	0 days 00:12:28.730032000	0.30000000000000004	0.0003291695396826072	10	3				COMPLETE
12	0.47794426746707686	2020-07-26 01:57:22.656949	2020-07-26 02:11:10.787941	0 days 00:13:48.130992000	0.4	0.0002497606893257067	10	3				COMPLETE
13	0.47742499193417787	2020-07-26 02:11:10.788450	2020-07-26 02:25:30.402083	0 days 00:14:19.613633000	0.5	0.0001139246100513015	10	3				COMPLETE
14	0.47742854761699277	2020-07-26 02:25:30.402614	2020-07-26 02:42:20.552984	0 days 00:16:50.150370000	0.5	5.7624111784101665e-05	9	2		flat		COMPLETE
15	0.4774539287666118	2020-07-26 02:42:20.553494	2020-07-26 02:58:25.288923	0 days 00:16:04.735429000	0.5	6.851917221162082e-05	9	2		flat		COMPLETE
16	0.4777468899425455	2020-07-26 02:58:25.289422	2020-07-26 03:14:57.231766	0 days 00:16:31.942344000	0.5	4.268235639121378e-05	9	2		pyramid_2		COMPLETE
17	0.47757455380046765	2020-07-26 03:14:57.232287	2020-07-26 03:34:09.930616	0 days 00:19:12.698329000	0.5	3.560323423478017e-05	9	2		flat		COMPLETE
18	0.478196019043878	2020-07-26 03:34:09.931106	2020-07-26 03:47:32.932247	0 days 00:13:23.001141000	0.4	0.0009104885093184756	10	3				COMPLETE
19	0.48185845852620823	2020-07-26 03:47:32.932786	2020-07-26 04:00:09.084520	0 days 00:12:36.151734000	0.4	0.00011873681607388048	7	2			flat	COMPLETE
20	0.47734289122715634	2020-07-26 04:00:09.085043	2020-07-26 04:20:18.373700	0 days 00:20:09.288657000	0.35000000000000003	2.7265619552827346e-05	9	3				COMPLETE
21	0.47742786831201534	2020-07-26 04:20:18.374207	2020-07-26 04:42:35.380215	0 days 00:22:17.006008000	0.35000000000000003	2.2533559377864903e-05	9	3				COMPLETE
22	0.47747467316833603	2020-07-26 04:42:35.380694	2020-07-26 05:02:44.166309	0 days 00:20:08.785615000	0.30000000000000004	2.2003141512444106e-05	9	3				COMPLETE
23	0.4782674534040071	2020-07-26 05:02:44.166857	2020-07-26 05:15:01.226100	0 days 00:12:17.059243000	0.15000000000000002	0.00017753676895283378	10	3				COMPLETE
24	0.4774608853590156	2020-07-26 05:15:01.226570	2020-07-26 05:32:47.989225	0 days 00:17:46.762655000	0.35000000000000003	2.939872518939515e-05	8	3	pyramid_2			COMPLETE
