number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	63.51494652722984	2020-07-20 16:12:15.619374	2020-07-20 16:21:24.682697	0 days 00:09:09.063323000		0.0036865909129573248	7	1				COMPLETE
1	81.06842202326236	2020-07-20 16:21:24.683185	2020-07-20 16:28:43.920658	0 days 00:07:19.237473000		0.0006506442735475404	9	1				COMPLETE
2	57.555019879315005	2020-07-20 16:28:43.921155	2020-07-20 16:36:00.360217	0 days 00:07:16.439062000	0.05	0.0005090509384865166	9	3				COMPLETE
3	55.53270766905449	2020-07-20 16:36:00.360748	2020-07-20 16:43:05.596573	0 days 00:07:05.235825000	0.35000000000000003	0.011237851510416182	7	2			flat	COMPLETE
4	59.919261046974825	2020-07-20 16:43:05.597142	2020-07-20 16:50:43.299693	0 days 00:07:37.702551000	0.30000000000000004	0.00034477838522401025	9	3				COMPLETE
5	57.91270475048571	2020-07-20 16:50:43.300254	2020-07-20 17:19:35.744177	0 days 00:28:52.443923000	0.5	2.347828924114617e-05	6	2			flat	COMPLETE
6	59.91723630086948	2020-07-20 17:19:35.783409	2020-07-20 17:26:17.255828	0 days 00:06:41.472419000		0.007498715158038486	9	1				COMPLETE
7	80.83121206249042	2020-07-20 17:26:17.268304	2020-07-20 17:40:34.462105	0 days 00:14:17.193801000		1.6019038800063626e-05	9	1				COMPLETE
8	63.681593871350714	2020-07-20 17:40:34.462643	2020-07-20 17:51:20.137918	0 days 00:10:45.675275000		0.0004709938023179133	8	1				COMPLETE
9	56.71214697987132	2020-07-20 17:51:20.138473	2020-07-20 17:58:43.947751	0 days 00:07:23.809278000	0.5	0.0025787709309032123	7	2			pyramid_4	COMPLETE
10	56.845659119954625	2020-07-20 17:58:43.948305	2020-07-20 18:06:19.333422	0 days 00:07:35.385117000	0.30000000000000004	0.02714593645570708	6	2			flat	COMPLETE
11	55.71792512678653	2020-07-20 18:06:19.333988	2020-07-20 18:12:42.669190	0 days 00:06:23.335202000	0.5	0.005523569930763589	7	2			pyramid_4	COMPLETE
12	88.13259706427044	2020-07-20 18:12:42.669756	2020-07-20 19:43:18.971179	0 days 01:30:36.301423000	0.4	0.028993354818090768	7	2			pyramid_4	COMPLETE
13	56.11970304462171	2020-07-20 19:43:18.971739	2020-07-20 19:49:48.784151	0 days 00:06:29.812412000	0.15000000000000002	0.010284893767451935	8	3	flat			COMPLETE
14	56.40957622732851	2020-07-20 19:49:48.784720	2020-07-20 19:56:06.010307	0 days 00:06:17.225587000	0.4	0.001887252325029366	7	2			pyramid_2	COMPLETE
15	56.92738577984851	2020-07-20 19:56:06.010873	2020-07-20 20:02:19.947234	0 days 00:06:13.936361000	0.4	0.014616525943738287	6	2			flat	COMPLETE
16	58.382882781764316	2020-07-20 20:02:19.947791	2020-07-20 20:09:24.003139	0 days 00:07:04.055348000	0.2	0.001347172019209168	8	3	pyramid_2			COMPLETE
17	56.33493307485087	2020-07-20 20:09:24.003689	2020-07-20 20:16:16.042268	0 days 00:06:52.038579000	0.5	0.0050148040999918805	7	2			pyramid_4	COMPLETE
18	57.05866256245015	2020-07-20 20:16:16.058704	2020-07-20 20:22:49.268412	0 days 00:06:33.209708000	0.35000000000000003	0.00015547317958483707	10	2				COMPLETE
19	58.86371592334853	2020-07-20 20:22:49.268952	2020-07-20 20:29:02.749955	0 days 00:06:13.481003000	0.45	0.023467578376990633	6	3		pyramid_4		COMPLETE
20	57.95806498337528	2020-07-20 20:29:02.750502	2020-07-20 20:37:16.545337	0 days 00:08:13.794835000	0.25	5.286139473962764e-05	7	2			pyramid_4	COMPLETE
21	57.5226158565012	2020-07-20 20:37:16.545887	2020-07-20 20:42:51.148500	0 days 00:05:34.602613000	0.15000000000000002	0.009819543732175829	8	3	flat			COMPLETE
22	56.24848482404095	2020-07-20 20:42:51.149051	2020-07-20 20:49:56.034542	0 days 00:07:04.885491000	0.1	0.012749594223352066	8	3	flat			COMPLETE
23	57.13264114783462	2020-07-20 20:49:56.035093	2020-07-20 20:56:34.157806	0 days 00:06:38.122713000	0.0	0.005133057925076183	8	3	flat			COMPLETE
24	57.17484385679322	2020-07-20 20:56:34.158381	2020-07-20 21:03:02.292919	0 days 00:06:28.134538000	0.2	0.0010388321291705982	7	2			pyramid_2	COMPLETE
