number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	10.161317015852447	2020-07-20 17:37:39.979342	2020-07-20 17:43:29.895546	0 days 00:05:49.916204000	0.05	0.0032050295866659305	9	3				COMPLETE
1	9.480825113730148	2020-07-20 17:43:29.896057	2020-07-20 17:49:16.358647	0 days 00:05:46.462590000	0.30000000000000004	0.0007953956932245106	7	3	flat			COMPLETE
2	9.610578894128581	2020-07-20 17:49:16.359189	2020-07-20 17:55:07.263350	0 days 00:05:50.904161000	0.0	0.0009077795210381322	9	3				COMPLETE
3	9.205349155838485	2020-07-20 17:55:07.263884	2020-07-20 18:00:43.166719	0 days 00:05:35.902835000		1.0560856386464371e-05	6	1				COMPLETE
4	13.261425863652812	2020-07-20 18:00:43.167204	2020-07-20 20:24:28.009573	0 days 02:23:44.842369000	0.15000000000000002	0.01599599648205719	10	3				COMPLETE
5	9.383659861062439	2020-07-20 20:24:28.010074	2020-07-20 20:31:44.666181	0 days 00:07:16.656107000		0.0004129204535050412	7	1				COMPLETE
6	9.518519864713847	2020-07-20 20:31:44.666658	2020-07-20 20:37:33.706913	0 days 00:05:49.040255000	0.0	0.0001134258557138138	9	2		flat		COMPLETE
7	9.434697942647928	2020-07-20 20:37:33.707404	2020-07-20 20:44:40.906781	0 days 00:07:07.199377000		0.00015248631121075884	7	1				COMPLETE
8	9.353945128270857	2020-07-20 20:44:40.907283	2020-07-20 20:51:08.325703	0 days 00:06:27.418420000	0.5	1.6279757804419165e-05	10	3				COMPLETE
9	9.284669958403345	2020-07-20 20:51:08.326200	2020-07-20 20:57:05.901331	0 days 00:05:57.575131000	0.35000000000000003	0.003706672646876392	7	3	flat			COMPLETE
10	9.211943995018162	2020-07-20 20:57:05.903849	2020-07-20 21:03:12.588188	0 days 00:06:06.684339000	0.5	1.0082921292259091e-05	6	2			flat	COMPLETE
11	9.216919378551525	2020-07-20 21:03:12.588707	2020-07-20 21:09:22.413070	0 days 00:06:09.824363000	0.5	1.0778047068065183e-05	6	2			flat	COMPLETE
12	9.290647092158164	2020-07-20 21:09:22.413586	2020-07-20 21:15:50.344088	0 days 00:06:27.930502000	0.4	3.1386729258886874e-05	6	2			pyramid_2	COMPLETE
13	9.356400772924106	2020-07-20 21:15:50.344577	2020-07-20 21:21:31.248330	0 days 00:05:40.903753000		4.5891308332914876e-05	6	1				COMPLETE
14	9.270708312346182	2020-07-20 21:21:31.248813	2020-07-20 21:27:14.240165	0 days 00:05:42.991352000	0.2	1.1130559443186236e-05	6	2			pyramid_4	COMPLETE
15	9.42728285831739	2020-07-20 21:27:14.240658	2020-07-20 21:32:53.099534	0 days 00:05:38.858876000		4.865376464953679e-05	8	1				COMPLETE
16	9.299133138008942	2020-07-20 21:32:53.100038	2020-07-20 21:39:28.718153	0 days 00:06:35.618115000	0.45	2.307716892408011e-05	8	2			flat	COMPLETE
17	9.438564555111856	2020-07-20 21:39:28.718658	2020-07-20 21:45:07.716216	0 days 00:05:38.997558000		0.00012053951235155949	6	1				COMPLETE
18	9.409369407167775	2020-07-20 21:45:07.716679	2020-07-20 21:50:53.804145	0 days 00:05:46.087466000	0.25	0.023046162011838393	7	2			flat	COMPLETE
19	9.428953687229747	2020-07-20 21:50:53.804629	2020-07-20 21:57:55.215734	0 days 00:07:01.411105000		0.0002456515561200422	6	1				COMPLETE
20	9.333056128586056	2020-07-20 21:57:55.216224	2020-07-20 22:03:54.546738	0 days 00:05:59.330514000	0.1	1.1221927352720607e-05	8	2			pyramid_2	COMPLETE
21	9.215044975169286	2020-07-20 22:03:54.549107	2020-07-20 22:09:56.388338	0 days 00:06:01.839231000	0.5	1.0522304421729219e-05	6	2			flat	COMPLETE
22	9.271724153127398	2020-07-20 22:09:56.388875	2020-07-20 22:16:21.009867	0 days 00:06:24.620992000	0.4	5.397400428612364e-05	6	2			flat	COMPLETE
23	9.209241419441584	2020-07-20 22:16:21.010359	2020-07-20 22:21:54.840944	0 days 00:05:33.830585000	0.5	1.0555955633902433e-05	7	2			flat	COMPLETE
24	9.329050524303051	2020-07-20 22:21:54.841458	2020-07-20 22:27:31.832584	0 days 00:05:36.991126000	0.4	2.3203896553321863e-05	7	2			pyramid_4	COMPLETE
