number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	67.18735249613282	2020-07-20 06:41:26.899789	2020-07-20 06:52:00.563543	0 days 00:10:33.663754000	0.25	6.15415479563724e-05	7	3	pyramid_2				COMPLETE
1	68.59204563314233	2020-07-20 06:52:00.564094	2020-07-20 07:03:40.536473	0 days 00:11:39.972379000	0.2	4.9176435690026623e-05	7	2				flat	COMPLETE
2	63.00485656063711	2020-07-20 07:03:40.537023	2020-07-20 07:13:19.505202	0 days 00:09:38.968179000	0.4	0.0034384133883473018	8	2				flat	COMPLETE
3	66.77592834515829	2020-07-20 07:13:19.505716	2020-07-20 07:23:50.086736	0 days 00:10:30.581020000	0.30000000000000004	2.2937301422289056e-05	9	3					COMPLETE
4	67.57839655129241	2020-07-20 07:23:50.087310	2020-07-20 07:35:17.909828	0 days 00:11:27.822518000	0.1	6.172696233745994e-05	10	3					COMPLETE
5	70.18789024011694	2020-07-20 07:35:17.910383	2020-07-20 07:42:36.154966	0 days 00:07:18.244583000	0.35000000000000003	0.0001538561856766403	6	3		pyramid_4			COMPLETE
6	64.19196028662023	2020-07-20 07:42:36.155507	2020-07-20 07:53:58.475611	0 days 00:11:22.320104000	0.30000000000000004	0.01976451919324794	6	2				pyramid_4	COMPLETE
7	67.89804815916673	2020-07-20 07:53:58.476219	2020-07-20 08:06:46.702040	0 days 00:12:48.225821000	0.5	1.530003526563786e-05	8	3	pyramid_2				COMPLETE
8	68.34083025054527	2020-07-20 08:06:46.702575	2020-07-20 08:14:54.688911	0 days 00:08:07.986336000	0.15000000000000002	0.000265332959702858	7	3	pyramid_2				COMPLETE
9	67.64607054487611	2020-07-20 08:14:54.689456	2020-07-20 08:32:23.506119	0 days 00:17:28.816663000	0.45	1.2784058180015505e-05	9	2			flat		COMPLETE
10	110.39211366365063	2020-07-20 08:32:23.506687	2020-07-20 08:41:09.152395	0 days 00:08:45.645708000		0.003205562268218887	9	1					COMPLETE
11	119.833652599871	2020-07-20 08:41:09.152934	2020-07-20 10:56:08.714166	0 days 02:14:59.561232000		0.025642344325397314	6	1					COMPLETE
12	64.66697865841813	2020-07-20 10:56:08.714695	2020-07-20 11:06:04.660870	0 days 00:09:55.946175000	0.4	0.007728233134724163	8	2				pyramid_4	COMPLETE
13	67.80315758127875	2020-07-20 11:06:04.661395	2020-07-20 11:12:53.154224	0 days 00:06:48.492829000	0.35000000000000003	0.0017593596605521775	8	2				pyramid_4	COMPLETE
14	119.833652599871	2020-07-20 11:12:53.154760	2020-07-20 13:28:43.880362	0 days 02:15:50.725602000		0.029722740315259052	7	1					COMPLETE
15	67.11253095135406	2020-07-20 13:28:43.880890	2020-07-20 13:37:26.033780	0 days 00:08:42.152890000	0.0	0.009958338462417152	6	2				flat	COMPLETE
16	65.74719679404612	2020-07-20 13:37:26.034288	2020-07-20 13:50:29.644146	0 days 00:13:03.609858000	0.5	0.0012029295693296515	10	2					COMPLETE
17	119.833652599871	2020-07-20 13:50:29.644674	2020-07-20 16:29:06.910695	0 days 02:38:37.266021000		0.009028514993831655	9	1					COMPLETE
18	65.63870826355574	2020-07-20 16:29:06.911205	2020-07-20 16:36:01.267975	0 days 00:06:54.356770000	0.4	0.003628766053248137	8	2				pyramid_2	COMPLETE
19	64.4691139793767	2020-07-20 16:36:01.285145	2020-07-20 16:45:17.132874	0 days 00:09:15.847729000	0.25	0.000508373461245406	7	2				flat	COMPLETE
20	110.3425815637995	2020-07-20 16:45:17.133416	2020-07-20 16:54:03.586471	0 days 00:08:46.453055000		0.018614351766991527	6	1					COMPLETE
21	65.89440280456273	2020-07-20 16:54:03.586994	2020-07-20 17:03:34.716133	0 days 00:09:31.129139000	0.25	0.0005925016903048642	7	2				flat	COMPLETE
22	65.72434586089359	2020-07-20 17:03:34.716667	2020-07-20 17:13:18.084277	0 days 00:09:43.367610000	0.30000000000000004	0.00048570879898355125	7	2				flat	COMPLETE
23	66.82837205274667	2020-07-20 17:13:18.084809	2020-07-20 17:23:02.197868	0 days 00:09:44.113059000	0.30000000000000004	0.0009143175593543437	6	2				pyramid_4	COMPLETE
24	64.96394958226266	2020-07-20 17:23:02.198387	2020-07-20 17:30:50.136182	0 days 00:07:47.937795000	0.2	0.004567296254200403	7	2				flat	COMPLETE
