number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	47.73062033839449	2020-07-20 04:36:36.847202	2020-07-20 04:43:53.441404	0 days 00:07:16.594202000	0.25	0.0016450158962182818	7	3	flat				COMPLETE
1	47.19530848798441	2020-07-20 04:43:53.441954	2020-07-20 04:59:31.074703	0 days 00:15:37.632749000	0.05	1.9441081806871785e-05	9	2			flat		COMPLETE
2	93.6122248702782	2020-07-20 04:59:31.075244	2020-07-20 07:29:18.282955	0 days 02:29:47.207711000	0.05	0.028488369710190524	7	2				pyramid_4	COMPLETE
3	83.71467165857824	2020-07-20 07:29:18.283515	2020-07-20 07:37:27.761688	0 days 00:08:09.478173000		0.0012809145188571308	9	1					COMPLETE
4	83.80276881797899	2020-07-20 07:37:27.762227	2020-07-20 07:45:23.868234	0 days 00:07:56.106007000		0.0008244057268141927	9	1					COMPLETE
5	46.98772925441956	2020-07-20 07:45:23.868883	2020-07-20 07:52:49.100015	0 days 00:07:25.231132000	0.2	0.001581481486482669	8	3	pyramid_2				COMPLETE
6	46.69994036840162	2020-07-20 07:52:49.117675	2020-07-20 08:15:57.670848	0 days 00:23:08.553173000	0.25	3.1518827245287874e-05	7	2				flat	COMPLETE
7	50.196604299512316	2020-07-20 08:15:57.671389	2020-07-20 08:24:22.172413	0 days 00:08:24.501024000	0.25	0.02502956518903886	6	3		flat			COMPLETE
8	46.88981471272957	2020-07-20 08:24:22.172967	2020-07-20 08:31:28.180770	0 days 00:07:06.007803000	0.1	0.000581268686924019	8	2				pyramid_4	COMPLETE
9	47.39197488674589	2020-07-20 08:31:28.181309	2020-07-20 08:38:48.714100	0 days 00:07:20.532791000	0.25	0.00047660581383734426	10	2					COMPLETE
10	83.59508563767943	2020-07-20 08:38:48.714638	2020-07-20 09:34:27.154323	0 days 00:55:38.439685000		1.2171646076209084e-05	6	1					COMPLETE
11	47.51762488248805	2020-07-20 09:34:27.192768	2020-07-20 09:46:04.815073	0 days 00:11:37.622305000	0.5	0.00010305180301548664	7	2				flat	COMPLETE
12	46.85233726929749	2020-07-20 09:46:04.815595	2020-07-20 09:54:34.969721	0 days 00:08:30.154126000	0.4	0.00012170889431708879	8	2				pyramid_4	COMPLETE
13	47.016171441013284	2020-07-20 09:54:34.970237	2020-07-20 10:14:27.683059	0 days 00:19:52.712822000	0.45	5.865224294433457e-05	7	2				flat	COMPLETE
14	47.361484985613835	2020-07-20 10:14:27.686363	2020-07-20 10:21:42.940840	0 days 00:07:15.254477000	0.4	0.00010215732999648347	8	3	pyramid_2				COMPLETE
15	83.57775204142474	2020-07-20 10:21:42.941354	2020-07-20 10:45:21.287724	0 days 00:23:38.346370000		3.154817416925045e-05	6	1					COMPLETE
16	47.13838220859689	2020-07-20 10:45:21.335797	2020-07-20 10:53:51.265951	0 days 00:08:29.930154000	0.35000000000000003	0.00025309919904961204	7	2				pyramid_2	COMPLETE
17	48.68805448015482	2020-07-20 10:53:51.266468	2020-07-20 11:01:01.261216	0 days 00:07:09.994748000	0.35000000000000003	0.005671645469725507	10	2					COMPLETE
18	83.55770135305077	2020-07-20 11:01:01.261736	2020-07-20 11:08:50.267541	0 days 00:07:49.005805000		0.00022914422187892065	8	1					COMPLETE
19	46.86525153820669	2020-07-20 11:08:50.268082	2020-07-20 11:24:51.236569	0 days 00:16:00.968487000	0.15000000000000002	1.0034713055679599e-05	9	3					COMPLETE
20	46.42964533217489	2020-07-20 11:24:51.237086	2020-07-20 11:46:25.661325	0 days 00:21:34.424239000	0.35000000000000003	4.147099370729519e-05	7	2				flat	COMPLETE
21	46.44283209866809	2020-07-20 11:46:25.661857	2020-07-20 12:08:18.744644	0 days 00:21:53.082787000	0.35000000000000003	3.792607570971773e-05	7	2				flat	COMPLETE
22	47.915973936389065	2020-07-20 12:08:18.768086	2020-07-20 12:30:21.256713	0 days 00:22:02.488627000	0.30000000000000004	2.49619905191988e-05	7	2				flat	COMPLETE
23	46.61494674935851	2020-07-20 12:30:21.257284	2020-07-20 13:00:19.350235	0 days 00:29:58.092951000	0.35000000000000003	4.879943330399087e-05	6	2				flat	COMPLETE
24	46.946829113127535	2020-07-20 13:00:19.351040	2020-07-20 13:26:28.335403	0 days 00:26:08.984363000	0.35000000000000003	5.0835247422013e-05	6	2				flat	COMPLETE
