number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	49.72411773968252	2020-07-20 20:51:51.516069	2020-07-20 21:01:38.541418	0 days 00:09:47.025349000	0.30000000000000004	0.00024493199374494066	8	3	pyramid_2			COMPLETE
1	109.60205142970017	2020-07-20 21:01:38.541959	2020-07-20 23:18:26.504644	0 days 02:16:47.962685000		0.017886869749305798	7	1				COMPLETE
2	49.01831522201939	2020-07-20 23:18:26.505186	2020-07-20 23:26:02.980576	0 days 00:07:36.475390000	0.35000000000000003	0.00048491766482877056	8	2			flat	COMPLETE
3	98.14711392556598	2020-07-20 23:26:02.981136	2020-07-20 23:34:52.905516	0 days 00:08:49.924380000		0.00017401452457727347	7	1				COMPLETE
4	49.56521723545181	2020-07-20 23:34:52.906037	2020-07-20 23:44:25.583816	0 days 00:09:32.677779000	0.15000000000000002	0.000755254149698766	9	3				COMPLETE
5	98.09209957516515	2020-07-20 23:44:25.584371	2020-07-20 23:56:52.388372	0 days 00:12:26.804001000		5.5799824907457086e-05	9	1				COMPLETE
6	47.76961356043068	2020-07-20 23:56:52.388950	2020-07-21 00:06:10.741612	0 days 00:09:18.352662000	0.45	0.0019391527534909254	6	2			flat	COMPLETE
7	50.52708070675038	2020-07-21 00:06:10.762643	2020-07-21 00:15:35.724292	0 days 00:09:24.961649000	0.05	0.0005537824255660217	6	2			pyramid_4	COMPLETE
8	48.74483028370184	2020-07-21 00:15:35.724850	2020-07-21 00:26:26.861617	0 days 00:10:51.136767000	0.05	5.3171277471901293e-05	9	2		flat		COMPLETE
9	49.22102245001142	2020-07-21 00:26:26.862190	2020-07-21 00:35:01.541435	0 days 00:08:34.679245000	0.0	7.129518831433461e-05	8	3	pyramid_2			COMPLETE
10	48.474061110382515	2020-07-21 00:35:01.542001	2020-07-21 00:45:50.968352	0 days 00:10:49.426351000	0.5	0.0058422647416040184	6	2			flat	COMPLETE
11	48.072363142925475	2020-07-21 00:45:50.968880	2020-07-21 00:55:20.477774	0 days 00:09:29.508894000	0.5	0.007387857318635028	6	2			flat	COMPLETE
12	47.97788020686662	2020-07-21 00:55:20.478328	2020-07-21 01:05:11.880352	0 days 00:09:51.402024000	0.5	0.0030697064846922826	6	2			pyramid_2	COMPLETE
13	47.93895166363336	2020-07-21 01:05:11.880885	2020-07-21 01:13:24.795568	0 days 00:08:12.914683000	0.4	0.0024323866589912218	7	2			pyramid_2	COMPLETE
14	48.79938972040597	2020-07-21 01:13:24.798069	2020-07-21 01:22:39.425181	0 days 00:09:14.627112000	0.4	0.0015853093467500616	7	3	flat			COMPLETE
15	109.60205142970017	2020-07-21 01:22:39.425737	2020-07-21 03:43:47.221663	0 days 02:21:07.795926000		0.02820914387708364	7	1				COMPLETE
16	48.3788079627415	2020-07-21 03:43:47.224870	2020-07-21 04:13:56.400404	0 days 00:30:09.175534000	0.4	1.0040493749368995e-05	10	2				COMPLETE
17	49.20415763358025	2020-07-21 04:13:56.400936	2020-07-21 04:22:30.684517	0 days 00:08:34.283581000	0.4	0.0018703108726990656	7	2			pyramid_2	COMPLETE
18	99.0573354911625	2020-07-21 04:22:30.685051	2020-07-21 04:30:31.484308	0 days 00:08:00.799257000		0.009099882552565974	6	1				COMPLETE
19	47.947318759490344	2020-07-21 04:30:31.484821	2020-07-21 04:39:22.050973	0 days 00:08:50.566152000	0.2	0.0030719130911546614	7	3	flat			COMPLETE
20	49.25019596189996	2020-07-21 04:39:22.051527	2020-07-21 04:46:53.640328	0 days 00:07:31.588801000	0.45	0.0014967362121332706	6	2			pyramid_2	COMPLETE
21	50.29752179968584	2020-07-21 04:46:53.640869	2020-07-21 04:55:40.475391	0 days 00:08:46.834522000	0.2	0.0028527841605000756	7	3	flat			COMPLETE
22	50.170643829283264	2020-07-21 04:55:40.478397	2020-07-21 05:02:41.320942	0 days 00:07:00.842545000	0.25	0.003682833366107226	7	3	flat			COMPLETE
23	50.204897476799054	2020-07-21 05:02:41.321494	2020-07-21 05:11:32.340608	0 days 00:08:51.019114000	0.15000000000000002	0.0010213099597542249	8	3	flat			COMPLETE
24	49.07983606658217	2020-07-21 05:11:32.341156	2020-07-21 05:20:25.737510	0 days 00:08:53.396354000	0.30000000000000004	0.015250761872376686	7	2			flat	COMPLETE
