number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	inf	2020-07-23 18:34:12.927377	2020-07-23 18:36:56.519708	0 days 00:02:43.592331000	0.35000000000000003	0.02300036096525971	10	3				COMPLETE
1	0.654877412103389	2020-07-23 18:36:56.520234	2020-07-23 18:45:53.801217	0 days 00:08:57.280983000		0.005286826585678318	7	1				COMPLETE
2	0.6580914820348148	2020-07-23 18:45:53.801713	2020-07-23 18:51:57.238670	0 days 00:06:03.436957000	0.1	0.0001300526105367763	10	2				COMPLETE
3	0.6544066441446548	2020-07-23 18:51:57.239162	2020-07-23 19:00:47.653627	0 days 00:08:50.414465000		0.0008203452964273207	7	1				COMPLETE
4	0.6694300448019508	2020-07-23 19:00:47.654165	2020-07-23 19:06:45.850067	0 days 00:05:58.195902000	0.1	0.0025286035309303517	7	2			flat	COMPLETE
5	0.6553140018790894	2020-07-23 19:06:45.850570	2020-07-23 19:18:05.515852	0 days 00:11:19.665282000		4.2917323965811814e-05	9	1				COMPLETE
6	0.6512132621389817	2020-07-23 19:18:05.516365	2020-07-23 19:24:35.814102	0 days 00:06:30.297737000	0.5	1.2609647513175103e-05	8	3	pyramid_2			COMPLETE
7	0.7385438098755233	2020-07-23 19:24:35.814708	2020-07-23 19:31:50.448843	0 days 00:07:14.634135000	0.45	0.028457384976864158	7	3	pyramid_2			COMPLETE
8	0.6527938690137786	2020-07-23 19:31:50.449393	2020-07-23 19:39:32.148255	0 days 00:07:41.698862000	0.05	6.453528568968276e-05	10	3				COMPLETE
9	0.6608474047828637	2020-07-23 19:39:32.151404	2020-07-23 19:45:37.558947	0 days 00:06:05.407543000	0.0	0.0013339800529626714	7	3	pyramid_2			COMPLETE
10	0.6497941504898401	2020-07-23 19:45:37.559497	2020-07-23 19:52:29.785871	0 days 00:06:52.226374000	0.5	1.2196131524204759e-05	8	2			pyramid_2	COMPLETE
11	0.6499995133091856	2020-07-23 19:52:29.786641	2020-07-23 19:59:28.348401	0 days 00:06:58.561760000	0.5	1.0777877048614264e-05	8	2			pyramid_2	COMPLETE
12	0.6496097824715182	2020-07-23 19:59:28.348975	2020-07-23 20:07:07.246810	0 days 00:07:38.897835000	0.35000000000000003	1.0202946333838093e-05	8	2			pyramid_2	COMPLETE
13	0.6482668785275512	2020-07-23 20:07:07.247356	2020-07-23 20:14:12.313954	0 days 00:07:05.066598000	0.30000000000000004	1.0045834025374902e-05	9	2		pyramid_2		COMPLETE
14	0.6604289668647018	2020-07-23 20:14:12.314512	2020-07-23 20:20:05.952025	0 days 00:05:53.637513000	0.25	0.0002274923736786393	9	2		pyramid_2		COMPLETE
15	0.648386030653359	2020-07-23 20:20:05.952627	2020-07-23 20:26:12.638088	0 days 00:06:06.685461000	0.30000000000000004	3.15520059565517e-05	9	2		pyramid_2		COMPLETE
16	0.6553528239351526	2020-07-23 20:26:12.638660	2020-07-23 20:36:57.354776	0 days 00:10:44.716116000		3.285595898780275e-05	9	1				COMPLETE
17	0.6591395664329515	2020-07-23 20:36:57.355345	2020-07-23 20:43:23.455011	0 days 00:06:26.099666000	0.25	0.000317653845258921	9	2		pyramid_2		COMPLETE
18	0.6502370794410592	2020-07-23 20:43:23.455566	2020-07-23 20:50:24.894295	0 days 00:07:01.438729000	0.35000000000000003	2.5865410769098058e-05	6	2			pyramid_4	COMPLETE
19	0.6552624209233495	2020-07-23 20:50:24.894871	2020-07-23 21:00:32.269910	0 days 00:10:07.375039000		8.100691135922792e-05	9	1				COMPLETE
20	0.6485392125931833	2020-07-23 21:00:32.270464	2020-07-23 21:06:43.403388	0 days 00:06:11.132924000	0.2	2.3276341054766902e-05	10	2				COMPLETE
21	0.6489273406968094	2020-07-23 21:06:43.403945	2020-07-23 21:15:06.775415	0 days 00:08:23.371470000	0.2	2.1513765601960354e-05	10	2				COMPLETE
22	0.6502449362010201	2020-07-23 21:15:06.775940	2020-07-23 21:21:12.122795	0 days 00:06:05.346855000	0.2	0.00011296422296791006	9	2		flat		COMPLETE
23	0.6488649759188623	2020-07-23 21:21:12.123318	2020-07-23 21:27:40.111066	0 days 00:06:27.987748000	0.30000000000000004	2.1537882876626642e-05	10	2				COMPLETE
24	0.649804785990791	2020-07-23 21:27:40.111589	2020-07-23 21:33:18.896917	0 days 00:05:38.785328000	0.15000000000000002	5.0074236470136755e-05	9	2		pyramid_2		COMPLETE
