number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5726024299233646	2020-07-21 03:24:58.999053	2020-07-21 03:30:58.304976	0 days 00:05:59.305923000		4.345829436014137e-05	7	1					COMPLETE
1	0.5661168502370633	2020-07-21 03:30:58.305462	2020-07-21 03:37:11.543249	0 days 00:06:13.237787000	0.0	3.208618160526398e-05	7	3	pyramid_2				COMPLETE
2	inf	2020-07-21 03:37:11.543847	2020-07-21 03:39:38.970668	0 days 00:02:27.426821000		0.01874298809743826	10	1					COMPLETE
3	0.5632919006213886	2020-07-21 03:39:38.971199	2020-07-21 03:45:58.666705	0 days 00:06:19.695506000	0.2	3.140462191021594e-05	6	3		flat			COMPLETE
4	0.5650333342738907	2020-07-21 03:45:58.667251	2020-07-21 03:51:55.004305	0 days 00:05:56.337054000	0.15000000000000002	2.624385980557367e-05	9	2			pyramid_2		COMPLETE
5	0.5926119846096518	2020-07-21 03:51:55.004833	2020-07-21 03:57:38.947103	0 days 00:05:43.942270000	0.35000000000000003	0.00043507365262233656	7	2				flat	COMPLETE
6	0.5723692697673287	2020-07-21 03:57:38.947622	2020-07-21 04:03:22.755666	0 days 00:05:43.808044000		3.768830472706921e-05	7	1					COMPLETE
7	inf	2020-07-21 04:03:22.756186	2020-07-21 04:06:45.223565	0 days 00:03:22.467379000	0.30000000000000004	0.005200035049875274	9	3					COMPLETE
8	0.5908075789201336	2020-07-21 04:06:45.224100	2020-07-21 04:12:42.172713	0 days 00:05:56.948613000	0.4	0.00043886153377724986	9	2			pyramid_2		COMPLETE
9	0.566326074182186	2020-07-21 04:12:42.173250	2020-07-21 04:18:54.715458	0 days 00:06:12.542208000	0.0	3.3111183896523086e-05	7	3	pyramid_2				COMPLETE
10	0.5806391811448882	2020-07-21 04:18:54.715979	2020-07-21 04:24:44.668383	0 days 00:05:49.952404000	0.15000000000000002	0.00019203531964709643	6	3		flat			COMPLETE
11	0.5636831069223927	2020-07-21 04:24:44.668912	2020-07-21 04:31:17.673231	0 days 00:06:33.004319000	0.15000000000000002	1.4467982105709829e-05	9	2			flat		COMPLETE
12	0.5636473896822548	2020-07-21 04:31:17.673767	2020-07-21 04:38:16.109678	0 days 00:06:58.435911000	0.15000000000000002	1.0521715567842294e-05	10	2					COMPLETE
13	0.587793920337492	2020-07-21 04:38:16.110190	2020-07-21 04:46:57.596540	0 days 00:08:41.486350000	0.2	0.00012895750032390507	10	3					COMPLETE
14	0.5659491328513113	2020-07-21 04:46:57.597060	2020-07-21 04:55:03.688414	0 days 00:08:06.091354000	0.05	1.0296687861896494e-05	6	2				pyramid_2	COMPLETE
15	0.5883504767181021	2020-07-21 04:55:03.708717	2020-07-21 05:02:07.157676	0 days 00:07:03.448959000	0.25	0.002504328752386927	8	3	flat				COMPLETE
16	0.5751252232723805	2020-07-21 05:02:07.158231	2020-07-21 05:08:26.944535	0 days 00:06:19.786304000		0.00012202606541431959	8	1					COMPLETE
17	0.563861063383672	2020-07-21 05:08:26.945049	2020-07-21 05:15:26.663296	0 days 00:06:59.718247000	0.1	1.1804723314421109e-05	10	2					COMPLETE
18	0.5635056408381058	2020-07-21 05:15:26.663844	2020-07-21 05:21:48.778863	0 days 00:06:22.115019000	0.5	7.774879337353271e-05	6	3		flat			COMPLETE
19	0.562896034289772	2020-07-21 05:21:48.779385	2020-07-21 05:27:48.629973	0 days 00:05:59.850588000	0.5	7.55651850831543e-05	6	3		flat			COMPLETE
20	0.5724008662203193	2020-07-21 05:27:48.630508	2020-07-21 05:34:09.244756	0 days 00:06:20.614248000	0.5	0.0017543472954262985	6	3		flat			COMPLETE
21	0.5637180031531739	2020-07-21 05:34:09.245286	2020-07-21 05:40:09.165713	0 days 00:05:59.920427000	0.5	8.377844951429585e-05	6	3		flat			COMPLETE
22	0.5747590978367157	2020-07-21 05:40:09.166243	2020-07-21 05:46:30.920906	0 days 00:06:21.754663000	0.45	0.00022606008064424499	6	3		flat			COMPLETE
23	0.569750992316241	2020-07-21 05:46:30.921451	2020-07-21 05:52:25.491291	0 days 00:05:54.569840000	0.4	7.072581741428135e-05	6	3		pyramid_2			COMPLETE
24	0.5897736383523947	2020-07-21 05:52:25.491840	2020-07-21 05:59:27.210116	0 days 00:07:01.718276000	0.25	0.0008850449445461126	6	3		pyramid_4			COMPLETE
