number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	state
0	0.5658718187475957	2020-07-24 13:10:28.263905	2020-07-24 13:16:23.837650	0 days 00:05:55.573745000	0.35000000000000003	0.0004072885178166797	9	2			flat	COMPLETE
1	0.5604606059847486	2020-07-24 13:16:23.838207	2020-07-24 13:22:54.576272	0 days 00:06:30.738065000	0.25	5.421184181287306e-05	9	3				COMPLETE
2	0.5644332601969734	2020-07-24 13:22:54.576823	2020-07-24 13:28:50.047580	0 days 00:05:55.470757000	0.05	0.00037925492094379533	9	2			pyramid_2	COMPLETE
3	0.5967128859608581	2020-07-24 13:28:50.048098	2020-07-24 13:34:40.881408	0 days 00:05:50.833310000		0.00595580230943931	10	1				COMPLETE
4	0.581155975029665	2020-07-24 13:34:40.881936	2020-07-24 13:41:00.124368	0 days 00:06:19.242432000		0.00470009361954851	7	1				COMPLETE
5	0.5645707926613626	2020-07-24 13:41:00.124868	2020-07-24 13:47:13.164304	0 days 00:06:13.039436000	0.45	0.0030630979767765497	6	3		flat		COMPLETE
6	0.5611061239281571	2020-07-24 13:47:13.164877	2020-07-24 13:53:25.613497	0 days 00:06:12.448620000	0.35000000000000003	0.00014064970658293784	8	3	flat			COMPLETE
7	0.5846191373253203	2020-07-24 13:53:25.614030	2020-07-24 13:59:48.514608	0 days 00:06:22.900578000		0.005455621819437468	8	1				COMPLETE
8	0.5634370283420012	2020-07-24 13:59:48.515122	2020-07-24 14:10:08.795943	0 days 00:10:20.280821000	0.4	1.6231470552452547e-05	6	3		pyramid_2		COMPLETE
9	0.5841679144033837	2020-07-24 14:10:08.796488	2020-07-24 14:15:51.978608	0 days 00:05:43.182120000		0.008117511665819683	7	1				COMPLETE
10	0.5595296768152804	2020-07-24 14:15:51.979118	2020-07-24 14:24:08.710550	0 days 00:08:16.731432000	0.1	1.0440775474098657e-05	10	3				COMPLETE
11	0.559528227488943	2020-07-24 14:24:08.711092	2020-07-24 14:32:31.978368	0 days 00:08:23.267276000	0.1	1.0596878315311774e-05	10	3				COMPLETE
12	0.5696353193023342	2020-07-24 14:32:31.978963	2020-07-24 14:41:42.730213	0 days 00:09:10.751250000	0.0	1.0533786668913258e-05	10	2				COMPLETE
13	0.5598671459909212	2020-07-24 14:41:42.730739	2020-07-24 14:48:29.350471	0 days 00:06:46.619732000	0.1	3.1080844086686296e-05	10	3				COMPLETE
14	0.5616976918499766	2020-07-24 14:48:29.351023	2020-07-24 14:55:12.967415	0 days 00:06:43.616392000	0.15000000000000002	9.372927710792021e-05	10	3				COMPLETE
15	inf	2020-07-24 14:55:12.967931	2020-07-24 14:57:40.569658	0 days 00:02:27.601727000	0.2	0.028322982160942808	9	2			flat	COMPLETE
16	0.5612145346279802	2020-07-24 14:57:40.570186	2020-07-24 15:06:23.066300	0 days 00:08:42.496114000	0.0	1.0424339942990335e-05	10	3				COMPLETE
17	0.5637915222818987	2020-07-24 15:06:23.066829	2020-07-24 15:13:35.197694	0 days 00:07:12.130865000	0.1	2.611362395376832e-05	9	2			pyramid_2	COMPLETE
18	0.5630592499626512	2020-07-24 15:13:35.198209	2020-07-24 15:24:00.710891	0 days 00:10:25.512682000	0.25	0.0015706323046082431	10	3				COMPLETE
19	0.5608995216811072	2020-07-24 15:24:00.711434	2020-07-24 15:29:56.934823	0 days 00:05:56.223389000	0.15000000000000002	0.0001552583775725619	8	3	pyramid_2			COMPLETE
20	0.5643755038164987	2020-07-24 15:29:56.935335	2020-07-24 15:35:59.285893	0 days 00:06:02.350558000	0.05	4.952843077523892e-05	9	2			flat	COMPLETE
21	0.559827547743333	2020-07-24 15:35:59.286416	2020-07-24 15:43:07.601860	0 days 00:07:08.315444000	0.1	2.626931161756431e-05	10	3				COMPLETE
22	0.5595843315414348	2020-07-24 15:43:07.602884	2020-07-24 15:51:19.500990	0 days 00:08:11.898106000	0.15000000000000002	1.038469548130377e-05	10	3				COMPLETE
23	0.5600253192716562	2020-07-24 15:51:19.501494	2020-07-24 15:58:48.009705	0 days 00:07:28.508211000	0.2	1.4134013508646683e-05	10	3				COMPLETE
24	0.5608943908709242	2020-07-24 15:58:48.010214	2020-07-24 16:06:09.744755	0 days 00:07:21.734541000	0.15000000000000002	1.3027846594371957e-05	9	3				COMPLETE
