number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	1.1473639241698355	2020-07-24 07:33:39.001579	2020-07-24 07:39:46.694259	0 days 00:06:07.692680000		0.0036672094477774066	8	1			COMPLETE
1	1.1482244622916062	2020-07-24 07:39:46.694742	2020-07-24 07:48:47.694698	0 days 00:09:00.999956000		8.060461807230018e-05	10	1			COMPLETE
2	1.141483262916248	2020-07-24 07:48:47.695171	2020-07-24 07:57:10.448525	0 days 00:08:22.753354000	0.15000000000000002	0.017781465679216596	7	3	flat		COMPLETE
3	1.124717417641934	2020-07-24 07:57:10.449070	2020-07-24 08:03:52.796370	0 days 00:06:42.347300000	0.15000000000000002	0.0018284548062360393	9	3			COMPLETE
4	1.1228006243853312	2020-07-24 08:03:52.796858	2020-07-24 08:17:54.162229	0 days 00:14:01.365371000	0.1	1.3315334825655868e-05	6	2		pyramid_4	COMPLETE
5	1.123186697787041	2020-07-24 08:17:54.162759	2020-07-24 08:26:30.585169	0 days 00:08:36.422410000	0.0	2.2911325166771623e-05	8	3	flat		COMPLETE
6	inf	2020-07-24 08:26:30.585691	2020-07-24 08:28:51.825662	0 days 00:02:21.239971000		0.012932667552591318	10	1			COMPLETE
7	1.1232188994308998	2020-07-24 08:28:51.826204	2020-07-24 08:34:56.285459	0 days 00:06:04.459255000	0.2	0.0021049967500397556	9	3			COMPLETE
8	1.1229940651540309	2020-07-24 08:34:56.285984	2020-07-24 08:41:01.729768	0 days 00:06:05.443784000	0.25	0.0005850822895295925	9	3			COMPLETE
9	1.1476224117127274	2020-07-24 08:41:01.772084	2020-07-24 08:46:40.087314	0 days 00:05:38.315230000		1.5365439786443397e-05	9	1			COMPLETE
10	1.1139451994149692	2020-07-24 08:46:40.087816	2020-07-24 08:59:28.905041	0 days 00:12:48.817225000	0.5	8.13664168851736e-05	6	2		pyramid_4	COMPLETE
11	1.1151568505567961	2020-07-24 08:59:28.905554	2020-07-24 09:10:47.239669	0 days 00:11:18.334115000	0.5	0.00011011959556517645	6	2		pyramid_4	COMPLETE
12	1.1178169170079455	2020-07-24 09:10:47.240187	2020-07-24 09:18:58.695851	0 days 00:08:11.455664000	0.5	0.00011146936669505628	6	2		pyramid_4	COMPLETE
13	1.1162754585137944	2020-07-24 09:18:58.696377	2020-07-24 09:27:38.279787	0 days 00:08:39.583410000	0.5	9.875664718731843e-05	7	2		pyramid_4	COMPLETE
14	1.117809380812101	2020-07-24 09:27:38.280313	2020-07-24 09:36:05.956193	0 days 00:08:27.675880000	0.35000000000000003	0.00034287312490728655	6	2		pyramid_2	COMPLETE
15	1.1182917122676455	2020-07-24 09:36:05.956742	2020-07-24 09:44:59.642407	0 days 00:08:53.685665000	0.4	0.00029983060508343193	7	2		flat	COMPLETE
16	1.1153590135515317	2020-07-24 09:44:59.642940	2020-07-24 09:55:43.238734	0 days 00:10:43.595794000	0.4	6.212463377363161e-05	6	2		pyramid_4	COMPLETE
17	1.118235759745226	2020-07-24 09:55:43.239267	2020-07-24 10:05:29.201802	0 days 00:09:45.962535000	0.5	5.1285967546685824e-05	7	2		pyramid_4	COMPLETE
18	1.1169134975065709	2020-07-24 10:05:29.202320	2020-07-24 10:13:31.914801	0 days 00:08:02.712481000	0.35000000000000003	0.00022645559333593236	6	2		pyramid_2	COMPLETE
19	1.1471751133980317	2020-07-24 10:13:31.915306	2020-07-24 10:19:01.164894	0 days 00:05:29.249588000		3.324511834694471e-05	7	1			COMPLETE
20	1.1189569658840999	2020-07-24 10:19:01.165408	2020-07-24 10:28:45.640600	0 days 00:09:44.475192000	0.45	0.0005579409077020308	6	2		flat	COMPLETE
21	1.1154522002580205	2020-07-24 10:28:45.641123	2020-07-24 10:39:31.872945	0 days 00:10:46.231822000	0.4	0.00015351226916121365	6	2		pyramid_4	COMPLETE
22	1.1170297733107886	2020-07-24 10:39:31.873455	2020-07-24 10:52:36.539917	0 days 00:13:04.666462000	0.45	4.554409203291437e-05	6	2		pyramid_4	COMPLETE
23	1.1178782242185556	2020-07-24 10:52:36.540433	2020-07-24 11:01:16.735335	0 days 00:08:40.194902000	0.30000000000000004	7.613106164721158e-05	7	2		pyramid_4	COMPLETE
24	1.119533892738619	2020-07-24 11:01:16.735867	2020-07-24 11:12:43.812021	0 days 00:11:27.076154000	0.45	2.9840723138730112e-05	6	2		pyramid_4	COMPLETE
