number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5743168148124613	2020-07-24 06:06:11.950960	2020-07-24 06:37:11.239336	0 days 00:30:59.288376000		5.3584108489079876e-05	8	1					COMPLETE
1	0.5403937937216878	2020-07-24 06:37:11.239814	2020-07-24 06:52:41.068154	0 days 00:15:29.828340000	0.4	3.733148684510606e-05	9	3					COMPLETE
2	0.5450152799133413	2020-07-24 06:52:41.068676	2020-07-24 07:05:19.746000	0 days 00:12:38.677324000	0.4	1.8635639361806744e-05	9	2			pyramid_2		COMPLETE
3	0.5450211704700736	2020-07-24 07:05:19.746498	2020-07-24 07:19:32.309292	0 days 00:14:12.562794000	0.15000000000000002	3.5975476032481216e-05	6	2				pyramid_4	COMPLETE
4	0.5421042760457185	2020-07-24 07:19:32.309814	2020-07-24 07:33:20.617635	0 days 00:13:48.307821000	0.0	1.1494861788847177e-05	9	3					COMPLETE
5	0.5444617075941531	2020-07-24 07:33:20.620396	2020-07-24 07:41:06.803751	0 days 00:07:46.183355000	0.0	0.0001969808305952687	8	2				pyramid_4	COMPLETE
6	inf	2020-07-24 07:41:06.804269	2020-07-24 07:43:24.504366	0 days 00:02:17.700097000	0.4	0.009997139447547406	10	3					COMPLETE
7	0.5441980375885201	2020-07-24 07:43:24.504888	2020-07-24 07:53:29.783668	0 days 00:10:05.278780000	0.15000000000000002	0.0003367704216789648	10	2					COMPLETE
8	0.5433905870717093	2020-07-24 07:53:29.784176	2020-07-24 08:13:03.724037	0 days 00:19:33.939861000	0.45	7.68598672187911e-05	8	2				flat	COMPLETE
9	0.5453710819466527	2020-07-24 08:13:03.724541	2020-07-24 08:31:50.289585	0 days 00:18:46.565044000	0.35000000000000003	0.0019627080938549855	7	2				flat	COMPLETE
10	0.5425452812526025	2020-07-24 08:31:50.290087	2020-07-24 08:42:07.500608	0 days 00:10:17.210521000	0.25	0.0017391585755291226	9	3					COMPLETE
11	0.5421935013534235	2020-07-24 08:42:07.521741	2020-07-24 08:55:34.122417	0 days 00:13:26.600676000	0.0	1.1045985716007765e-05	9	3					COMPLETE
12	0.5430555208191239	2020-07-24 08:55:34.122971	2020-07-24 09:15:43.164118	0 days 00:20:09.041147000	0.5	1.0621087081770221e-05	10	3					COMPLETE
13	0.5403206694975053	2020-07-24 09:15:43.164610	2020-07-24 09:27:19.707271	0 days 00:11:36.542661000	0.30000000000000004	0.00014321523461191825	9	3					COMPLETE
14	0.5743116190892964	2020-07-24 09:27:19.707830	2020-07-24 09:53:43.177061	0 days 00:26:23.469231000		0.0001259963366740231	7	1					COMPLETE
15	0.5412023020174395	2020-07-24 09:53:43.191870	2020-07-24 10:06:02.539094	0 days 00:12:19.347224000	0.30000000000000004	0.0009461592397470006	9	3					COMPLETE
16	0.5412427134794315	2020-07-24 10:06:02.555561	2020-07-24 10:15:53.253216	0 days 00:09:50.697655000	0.2	0.00046463927293206137	10	3					COMPLETE
17	0.5400180167410976	2020-07-24 10:15:53.253717	2020-07-24 10:32:19.319143	0 days 00:16:26.065426000	0.5	3.229460615535407e-05	7	3	pyramid_2				COMPLETE
18	0.5488416412681141	2020-07-24 10:32:19.319673	2020-07-24 10:47:34.755983	0 days 00:15:15.436310000	0.5	0.00018106664254986712	6	3		flat			COMPLETE
19	0.6098200547555208	2020-07-24 10:47:34.756498	2020-07-24 10:56:18.226177	0 days 00:08:43.469679000		0.01979778292267317	7	1					COMPLETE
20	0.5412088289090721	2020-07-24 10:56:18.226716	2020-07-24 11:07:41.080452	0 days 00:11:22.853736000	0.1	2.4541062345561186e-05	7	3	pyramid_2				COMPLETE
21	0.5401159116429934	2020-07-24 11:07:41.090093	2020-07-24 11:19:44.594587	0 days 00:12:03.504494000	0.35000000000000003	8.04244730379186e-05	8	3	pyramid_2				COMPLETE
22	0.5405120448915093	2020-07-24 11:19:44.595138	2020-07-24 11:31:42.611771	0 days 00:11:58.016633000	0.30000000000000004	0.00010688227987347877	8	3	pyramid_2				COMPLETE
23	0.5401648716544254	2020-07-24 11:31:42.612330	2020-07-24 11:43:35.145830	0 days 00:11:52.533500000	0.30000000000000004	6.556581697225497e-05	7	3	pyramid_2				COMPLETE
24	0.5402290238614189	2020-07-24 11:43:35.146373	2020-07-24 11:55:22.359912	0 days 00:11:47.213539000	0.35000000000000003	5.6199636212988964e-05	7	3	pyramid_2				COMPLETE
