number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.5518531848087781	2020-07-24 07:33:28.939038	2020-07-24 07:46:50.544655	0 days 00:13:21.605617000	0.15000000000000002	0.0052280164785915685	10	2				COMPLETE
1	0.544836146080451	2020-07-24 07:46:50.545177	2020-07-24 08:04:24.886028	0 days 00:17:34.340851000	0.30000000000000004	0.0003597067460783238	6	2			flat	COMPLETE
2	inf	2020-07-24 08:04:24.886568	2020-07-24 08:07:26.884407	0 days 00:03:01.997839000	0.45	0.005368093006502012	9	3				COMPLETE
3	0.5771456447283063	2020-07-24 08:07:26.884946	2020-07-24 08:14:31.833328	0 days 00:07:04.948382000		0.0016673376489677154	7	1				COMPLETE
4	0.5435082745712568	2020-07-24 08:14:31.833850	2020-07-24 08:23:55.284721	0 days 00:09:23.450871000	0.30000000000000004	0.00010309470322826079	8	2			pyramid_4	COMPLETE
5	0.5744058050326957	2020-07-24 08:23:55.285248	2020-07-24 08:51:43.261030	0 days 00:27:47.975782000		2.8211668589068256e-05	9	1				COMPLETE
6	0.5409020920525777	2020-07-24 08:51:43.261556	2020-07-24 09:02:44.973156	0 days 00:11:01.711600000	0.2	4.238981529968254e-05	8	3	pyramid_2			COMPLETE
7	0.5923798761421409	2020-07-24 09:02:44.973708	2020-07-24 09:12:07.535696	0 days 00:09:22.561988000		0.0035804894923405694	10	1				COMPLETE
8	0.5407811440618282	2020-07-24 09:12:07.536233	2020-07-24 09:22:28.995206	0 days 00:10:21.458973000	0.25	0.00013360235495339664	10	3				COMPLETE
9	inf	2020-07-24 09:22:28.995709	2020-07-24 09:25:31.464813	0 days 00:03:02.469104000	0.5	0.005525730529539467	10	3				COMPLETE
10	0.5417199924604198	2020-07-24 09:25:31.465319	2020-07-24 09:32:31.040996	0 days 00:06:59.575677000	0.0	0.00036350192318504416	9	3				COMPLETE
11	0.5411914209146013	2020-07-24 09:32:31.041495	2020-07-24 09:47:42.641214	0 days 00:15:11.599719000	0.15000000000000002	1.3257677024741165e-05	7	3	pyramid_2			COMPLETE
12	0.540469256840222	2020-07-24 09:47:42.641737	2020-07-24 09:57:11.494204	0 days 00:09:28.852467000	0.2	7.59556609521946e-05	8	3	pyramid_2			COMPLETE
13	0.5418848262563859	2020-07-24 09:57:11.494727	2020-07-24 10:05:42.751132	0 days 00:08:31.256405000	0.0	0.00010145506410714811	6	3		pyramid_4		COMPLETE
14	0.5435275454433662	2020-07-24 10:05:42.751671	2020-07-24 10:19:49.607132	0 days 00:14:06.855461000	0.4	0.00010052827601537937	7	2			pyramid_2	COMPLETE
15	0.5416727392447356	2020-07-24 10:19:49.607659	2020-07-24 10:29:08.495787	0 days 00:09:18.888128000	0.1	0.0009183387864714856	9	3				COMPLETE
16	0.5452480998995085	2020-07-24 10:29:08.496305	2020-07-24 10:48:53.338171	0 days 00:19:44.841866000	0.30000000000000004	1.139059035578667e-05	8	2			pyramid_2	COMPLETE
17	0.5407315875150964	2020-07-24 10:48:53.338691	2020-07-24 10:59:24.030700	0 days 00:10:30.692009000	0.25	0.00021813375703195296	10	3				COMPLETE
18	0.5406811245763108	2020-07-24 10:59:24.031216	2020-07-24 11:12:40.283740	0 days 00:13:16.252524000	0.1	3.8824276802568123e-05	7	3	flat			COMPLETE
19	0.5455471410377986	2020-07-24 11:12:40.284292	2020-07-24 11:23:34.731431	0 days 00:10:54.447139000	0.05	3.071894858814613e-05	7	2			pyramid_4	COMPLETE
20	0.5407563450117217	2020-07-24 11:23:34.754994	2020-07-24 11:41:20.312756	0 days 00:17:45.557762000	0.1	5.2670308002601744e-05	6	3		flat		COMPLETE
21	inf	2020-07-24 11:41:20.313302	2020-07-24 11:43:49.096248	0 days 00:02:28.782946000	0.2	0.017679304369161826	7	3	flat			COMPLETE
22	0.5401528109453947	2020-07-24 11:43:49.096753	2020-07-24 11:54:02.453342	0 days 00:10:13.356589000	0.2	0.00021475982686017099	8	3	flat			COMPLETE
23	0.5410887750062288	2020-07-24 11:54:02.453887	2020-07-24 12:07:04.691379	0 days 00:13:02.237492000	0.15000000000000002	2.056717622229041e-05	8	3	flat			COMPLETE
24	0.5412683231327229	2020-07-24 12:07:04.691916	2020-07-24 12:16:00.898595	0 days 00:08:56.206679000	0.1	0.0006951363835215725	8	3	flat			COMPLETE
