number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5438203440075763	2020-07-24 06:27:46.051746	2020-07-24 06:46:09.446833	0 days 00:18:23.395087000	0.45	0.00048330253217536515	10	2				COMPLETE
1	0.574556410417527	2020-07-24 06:46:09.447350	2020-07-24 07:22:34.607632	0 days 00:36:25.160282000		6.415807716690221e-05	6	1				COMPLETE
2	0.5748230909189054	2020-07-24 07:22:34.608150	2020-07-24 07:45:36.811089	0 days 00:23:02.202939000		0.00023272937743669956	7	1				COMPLETE
3	0.5722658735788606	2020-07-24 07:45:36.811620	2020-07-24 07:52:33.928704	0 days 00:06:57.117084000	0.35000000000000003	0.0018580968012883304	10	3				COMPLETE
4	0.542565871447739	2020-07-24 07:52:33.929213	2020-07-24 08:03:28.515440	0 days 00:10:54.586227000	0.0	0.0038591792163015577	8	3	flat			COMPLETE
5	0.5419240646285269	2020-07-24 08:03:28.516012	2020-07-24 08:12:53.180655	0 days 00:09:24.664643000	0.2	0.0005518827134831034	8	3	pyramid_2			COMPLETE
6	0.5417643332087984	2020-07-24 08:12:53.181197	2020-07-24 08:21:38.654172	0 days 00:08:45.472975000	0.0	0.00015333419441614373	9	3				COMPLETE
7	inf	2020-07-24 08:21:38.654673	2020-07-24 08:24:27.896985	0 days 00:02:49.242312000		0.026669717583288215	6	1				COMPLETE
8	0.5748871779355025	2020-07-24 08:24:27.897481	2020-07-24 08:48:05.419574	0 days 00:23:37.522093000		0.0001664850450313554	9	1				COMPLETE
9	0.5948765656426735	2020-07-24 08:48:05.420071	2020-07-24 08:54:14.457807	0 days 00:06:09.037736000		0.0045053883877712395	10	1				COMPLETE
10	0.5461705399886448	2020-07-24 08:54:14.458336	2020-07-24 09:04:35.838018	0 days 00:10:21.379682000	0.0	4.2612952007831215e-05	9	2		pyramid_2		COMPLETE
11	0.5414898518103393	2020-07-24 09:04:35.838556	2020-07-24 09:18:37.994556	0 days 00:14:02.156000000	0.15000000000000002	1.6276914188696252e-05	8	3	pyramid_2			COMPLETE
12	0.5415384264537075	2020-07-24 09:18:37.995125	2020-07-24 09:32:50.822830	0 days 00:14:12.827705000	0.15000000000000002	1.1451010910562648e-05	9	3				COMPLETE
13	0.5472029911922861	2020-07-24 09:32:50.823376	2020-07-24 09:53:54.423951	0 days 00:21:03.600575000	0.15000000000000002	1.0131768777928802e-05	7	2			pyramid_4	COMPLETE
14	0.5416966425744778	2020-07-24 09:53:54.424523	2020-07-24 10:08:54.373245	0 days 00:14:59.948722000	0.15000000000000002	1.0164765663992208e-05	8	3	pyramid_2			COMPLETE
15	0.5418313666100556	2020-07-24 10:08:54.373874	2020-07-24 10:22:01.095988	0 days 00:13:06.722114000	0.1	2.0588457873856824e-05	7	3	pyramid_2			COMPLETE
16	0.5449129998509912	2020-07-24 10:22:01.096564	2020-07-24 10:35:46.073826	0 days 00:13:44.977262000	0.30000000000000004	2.935898463150357e-05	9	2		flat		COMPLETE
17	0.5417243039578847	2020-07-24 10:35:46.074365	2020-07-24 10:48:12.319066	0 days 00:12:26.244701000	0.1	1.205806414014403e-05	9	3				COMPLETE
18	0.544456753677171	2020-07-24 10:48:12.319623	2020-07-24 10:59:46.603688	0 days 00:11:34.284065000	0.25	7.255824243559587e-05	8	2			pyramid_2	COMPLETE
19	0.5419772807282851	2020-07-24 10:59:46.617182	2020-07-24 11:12:10.219295	0 days 00:12:23.602113000	0.1	2.200727335114895e-05	7	3	pyramid_2			COMPLETE
20	0.5416648386192999	2020-07-24 11:12:10.219847	2020-07-24 11:31:52.796696	0 days 00:19:42.576849000	0.25	1.0178735611707198e-05	9	3				COMPLETE
21	0.5415105675563511	2020-07-24 11:31:52.797249	2020-07-24 11:47:30.017198	0 days 00:15:37.219949000	0.25	1.328157613884101e-05	9	3				COMPLETE
22	0.5411019510619614	2020-07-24 11:47:30.017915	2020-07-24 12:01:15.015444	0 days 00:13:44.997529000	0.2	2.2981558642890318e-05	8	3	flat			COMPLETE
23	0.5405869773666921	2020-07-24 12:01:15.016016	2020-07-24 12:15:01.054476	0 days 00:13:46.038460000	0.35000000000000003	5.30738609400289e-05	8	3	flat			COMPLETE
24	0.5403387850344329	2020-07-24 12:15:01.055068	2020-07-24 12:30:04.888003	0 days 00:15:03.832935000	0.4	7.527627517575581e-05	8	3	flat			COMPLETE
