number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	145.47631710944225	2020-07-21 09:14:53.485256	2020-07-21 09:25:37.616491	0 days 00:10:44.131235000	0.35000000000000003	0.0020621974092467402	7	3	flat			COMPLETE
1	167.6640616617019	2020-07-21 09:25:37.617051	2020-07-21 09:35:28.511216	0 days 00:09:50.894165000		0.0005464637683246349	8	1				COMPLETE
2	152.92322744567414	2020-07-21 09:35:28.511768	2020-07-21 09:47:35.436120	0 days 00:12:06.924352000	0.5	0.00010014860088866476	6	2			pyramid_2	COMPLETE
3	148.31815557869606	2020-07-21 09:47:35.436673	2020-07-21 09:57:38.069551	0 days 00:10:02.632878000	0.1	0.002517936583294098	10	3				COMPLETE
4	167.5120923345091	2020-07-21 09:57:38.070053	2020-07-21 10:13:43.993823	0 days 00:16:05.923770000		1.67112861138115e-05	8	1				COMPLETE
5	167.71056135111644	2020-07-21 10:13:43.994343	2020-07-21 10:24:03.810165	0 days 00:10:19.815822000		0.007884524977915641	6	1				COMPLETE
6	167.5027130573676	2020-07-21 10:24:03.812357	2020-07-21 10:38:56.490151	0 days 00:14:52.677794000		2.9813795260387352e-05	7	1				COMPLETE
7	160.78733886323928	2020-07-21 10:38:56.490673	2020-07-21 10:49:25.715774	0 days 00:10:29.225101000	0.15000000000000002	5.6173280501134485e-05	8	2			pyramid_4	COMPLETE
8	157.12725089786858	2020-07-21 10:49:25.716301	2020-07-21 11:00:00.818512	0 days 00:10:35.102211000	0.0	7.406111754287875e-05	7	2			pyramid_4	COMPLETE
9	156.61313165392735	2020-07-21 11:00:00.819056	2020-07-21 11:11:56.504667	0 days 00:11:55.685611000	0.25	3.257745876324072e-05	7	2			pyramid_4	COMPLETE
10	177.3180588948088	2020-07-21 11:11:56.505199	2020-07-21 12:22:46.824510	0 days 01:10:50.319311000	0.4	0.029594923621568688	10	3				COMPLETE
11	147.71135284903028	2020-07-21 12:22:46.825046	2020-07-21 12:33:03.505136	0 days 00:10:16.680090000	0.30000000000000004	0.0033451904882544894	10	3				COMPLETE
12	146.4909941724751	2020-07-21 12:33:03.505698	2020-07-21 12:42:55.318484	0 days 00:09:51.812786000	0.4	0.0013539396658919145	9	3				COMPLETE
13	146.3204299744789	2020-07-21 12:42:55.336874	2020-07-21 12:52:55.432902	0 days 00:10:00.096028000	0.4	0.0004921660709967601	9	3				COMPLETE
14	147.05080677695352	2020-07-21 12:52:55.433444	2020-07-21 13:02:56.879824	0 days 00:10:01.446380000	0.4	0.0002806484452513787	9	3				COMPLETE
15	149.78282458476352	2020-07-21 13:02:56.880355	2020-07-21 13:13:18.555922	0 days 00:10:21.675567000	0.5	0.011489935334419164	9	3				COMPLETE
16	146.33890523600576	2020-07-21 13:13:18.556459	2020-07-21 13:24:22.072765	0 days 00:11:03.516306000	0.35000000000000003	0.00027231649948757184	7	3	flat			COMPLETE
17	145.05920923981583	2020-07-21 13:24:22.073304	2020-07-21 13:34:16.098605	0 days 00:09:54.025301000	0.5	0.0008567598322413981	9	2		flat		COMPLETE
18	148.2622307547546	2020-07-21 13:34:16.099145	2020-07-21 13:44:19.239001	0 days 00:10:03.139856000	0.5	0.0013677436025536713	6	2			flat	COMPLETE
19	147.33221196860538	2020-07-21 13:44:19.239507	2020-07-21 13:54:25.026787	0 days 00:10:05.787280000	0.2	0.00671139591350286	8	2			pyramid_2	COMPLETE
20	144.87397244186118	2020-07-21 13:54:25.027319	2020-07-21 14:04:50.166879	0 days 00:10:25.139560000	0.30000000000000004	0.02386059693559126	9	2		flat		COMPLETE
21	146.0610722751071	2020-07-21 14:04:50.167408	2020-07-21 14:14:56.955147	0 days 00:10:06.787739000	0.30000000000000004	0.0011885359021275434	9	2		flat		COMPLETE
22	146.11393801782927	2020-07-21 14:14:56.955696	2020-07-21 14:25:29.804080	0 days 00:10:32.848384000	0.30000000000000004	0.02452916568691746	9	2		flat		COMPLETE
23	144.1968780266356	2020-07-21 14:25:29.804612	2020-07-21 14:35:27.597883	0 days 00:09:57.793271000	0.45	0.003224729994902346	10	2				COMPLETE
24	146.63855431088993	2020-07-21 14:35:27.598366	2020-07-21 14:45:07.434329	0 days 00:09:39.835963000	0.45	0.014807753040141506	10	2				COMPLETE
