number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	41.55692593393182	2020-07-21 19:04:04.124040	2020-07-21 19:20:18.868689	0 days 00:16:14.744649000	0.45	1.2081569174572955e-05	10	3			COMPLETE
1	48.7942138960032	2020-07-21 19:20:18.869194	2020-07-21 19:29:50.482867	0 days 00:09:31.613673000		0.0001051119553694122	9	1			COMPLETE
2	49.33790750214885	2020-07-21 19:29:50.483351	2020-07-21 19:39:21.089947	0 days 00:09:30.606596000		0.0006466428971350313	6	1			COMPLETE
3	44.370501184395344	2020-07-21 19:39:21.090433	2020-07-21 19:49:56.629834	0 days 00:10:35.539401000	0.35000000000000003	0.0009999592609023181	8	2		flat	COMPLETE
4	49.374602195783126	2020-07-21 19:49:56.630312	2020-07-21 20:01:15.497884	0 days 00:11:18.867572000		0.0017752966465434967	6	1			COMPLETE
5	48.77440386785539	2020-07-21 20:01:15.498368	2020-07-21 20:11:18.553804	0 days 00:10:03.055436000	0.2	0.019529783447356498	6	2		pyramid_4	COMPLETE
6	48.91488695540173	2020-07-21 20:11:18.554295	2020-07-21 20:20:49.315551	0 days 00:09:30.761256000		0.00010474323768735513	10	1			COMPLETE
7	48.815747680791425	2020-07-21 20:20:49.316053	2020-07-21 20:30:19.374597	0 days 00:09:30.058544000		0.00016059995732228184	8	1			COMPLETE
8	45.3198084915864	2020-07-21 20:30:19.375074	2020-07-21 20:40:03.647029	0 days 00:09:44.271955000	0.25	0.0013070004794679365	9	3			COMPLETE
9	47.54001344394122	2020-07-21 20:40:03.647543	2020-07-21 20:50:10.163436	0 days 00:10:06.515893000	0.25	0.008214638398582682	9	3			COMPLETE
10	41.51646222019986	2020-07-21 20:50:10.172116	2020-07-21 21:06:25.669837	0 days 00:16:15.497721000	0.5	1.3140283633079388e-05	10	3			COMPLETE
11	41.50767538125305	2020-07-21 21:06:25.670339	2020-07-21 21:22:16.225734	0 days 00:15:50.555395000	0.5	1.3332081854877255e-05	10	3			COMPLETE
12	41.41203638120066	2020-07-21 21:22:16.226266	2020-07-21 21:40:19.519791	0 days 00:18:03.293525000	0.5	1.1523074982887867e-05	10	3			COMPLETE
13	48.81044367879625	2020-07-21 21:40:19.520301	2020-07-21 21:50:12.349552	0 days 00:09:52.829251000	0.0	3.501060816606489e-05	10	2			COMPLETE
14	45.119650921222345	2020-07-21 21:50:12.350078	2020-07-21 22:05:49.725051	0 days 00:15:37.374973000	0.5	3.5932437045308805e-05	7	3	flat		COMPLETE
15	42.33797224655442	2020-07-21 22:05:49.730233	2020-07-21 22:24:34.334029	0 days 00:18:44.603796000	0.4	1.0275857335136063e-05	9	3			COMPLETE
16	48.56513733671145	2020-07-21 22:24:34.334568	2020-07-21 22:34:39.830567	0 days 00:10:05.495999000	0.35000000000000003	3.570803206131033e-05	10	2			COMPLETE
17	44.47289766813035	2020-07-21 22:34:39.831101	2020-07-21 22:45:05.080552	0 days 00:10:25.249451000	0.05	0.0003020133110505066	9	3			COMPLETE
18	47.56894626263802	2020-07-21 22:45:05.081074	2020-07-21 22:58:09.204945	0 days 00:13:04.123871000	0.5	2.1257333707207612e-05	7	2		pyramid_2	COMPLETE
19	45.14362505241592	2020-07-21 22:58:09.205450	2020-07-21 23:08:24.421912	0 days 00:10:15.216462000	0.4	0.00381381848455956	10	3			COMPLETE
20	42.42050343093741	2020-07-21 23:08:24.440916	2020-07-21 23:19:18.130217	0 days 00:10:53.689301000	0.1	6.190101088092109e-05	8	3	pyramid_2		COMPLETE
21	41.422815811608565	2020-07-21 23:19:18.130744	2020-07-21 23:37:17.482151	0 days 00:17:59.351407000	0.5	1.0189772486450248e-05	10	3			COMPLETE
22	41.42601171787757	2020-07-21 23:37:17.482660	2020-07-21 23:55:39.123047	0 days 00:18:21.640387000	0.5	1.0355918861737056e-05	10	3			COMPLETE
23	42.71008647838503	2020-07-21 23:55:39.123569	2020-07-22 00:09:06.869653	0 days 00:13:27.746084000	0.45	2.2122162913921146e-05	9	3			COMPLETE
24	41.480273669744996	2020-07-22 00:09:06.870155	2020-07-22 00:27:13.109427	0 days 00:18:06.239272000	0.45	1.158088632207e-05	10	3			COMPLETE
