number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	63.856582186815	2020-07-24 23:01:05.187745	2020-07-24 23:16:38.644913	0 days 00:15:33.457168000		0.0010661202441091117	7	1					COMPLETE
1	63.127768751626164	2020-07-24 23:16:38.645410	2020-07-24 23:28:41.760400	0 days 00:12:03.114990000		0.0027559372720080922	9	1					COMPLETE
2	63.09518856459847	2020-07-24 23:28:41.760924	2020-07-24 23:39:54.552577	0 days 00:11:12.791653000		0.0030876880227416912	9	1					COMPLETE
3	37.73794564178044	2020-07-24 23:39:54.553055	2020-07-24 23:54:42.843652	0 days 00:14:48.290597000	0.15000000000000002	2.4304643384838658e-05	8	3	pyramid_2				COMPLETE
4	56.32081085127727	2020-07-24 23:54:42.844237	2020-07-25 00:08:53.423642	0 days 00:14:10.579405000	0.15000000000000002	1.9924626126843526e-05	7	2				pyramid_4	COMPLETE
5	58.00403304549132	2020-07-25 00:08:53.424158	2020-07-25 00:22:00.969481	0 days 00:13:07.545323000	0.4	2.2824510957127676e-05	9	2			pyramid_2		COMPLETE
6	40.40331371494679	2020-07-25 00:22:00.970060	2020-07-25 00:34:33.387659	0 days 00:12:32.417599000	0.4	0.0027217348557683437	10	3					COMPLETE
7	40.313718274112865	2020-07-25 00:34:33.388187	2020-07-25 00:45:47.640466	0 days 00:11:14.252279000	0.1	0.0014386995814870368	8	2				pyramid_4	COMPLETE
8	37.77690520058386	2020-07-25 00:45:47.641060	2020-07-25 00:57:12.494360	0 days 00:11:24.853300000	0.30000000000000004	0.027127892020508193	7	3	flat				COMPLETE
9	37.514555968356845	2020-07-25 00:57:12.494930	2020-07-25 01:08:38.184746	0 days 00:11:25.689816000	0.25	0.0004623140295232136	9	3					COMPLETE
10	37.01124280952613	2020-07-25 01:08:38.185248	2020-07-25 01:20:09.545532	0 days 00:11:31.360284000	0.0	0.00016953298523870222	10	3					COMPLETE
11	37.097757405616946	2020-07-25 01:20:09.546065	2020-07-25 01:31:46.204179	0 days 00:11:36.658114000	0.25	0.00014509853711869704	10	3					COMPLETE
12	36.866464495797445	2020-07-25 01:31:46.204696	2020-07-25 01:43:22.378197	0 days 00:11:36.173501000	0.0	0.00014710170628404596	10	3					COMPLETE
13	36.76527832328961	2020-07-25 01:43:22.378712	2020-07-25 01:55:04.747675	0 days 00:11:42.368963000	0.0	0.00011582358211101265	10	3					COMPLETE
14	60.66840547764354	2020-07-25 01:55:04.748207	2020-07-25 02:06:08.149476	0 days 00:11:03.401269000	0.0	8.76354881615788e-05	10	2					COMPLETE
15	59.56516186268	2020-07-25 02:06:08.149975	2020-07-25 02:17:34.883503	0 days 00:11:26.733528000	0.0	5.109838338965663e-05	6	3		pyramid_4			COMPLETE
16	49.39263077680755	2020-07-25 02:17:34.884001	2020-07-25 02:28:58.536151	0 days 00:11:23.652150000	0.1	0.0004087554073080982	10	2					COMPLETE
17	37.66045260177599	2020-07-25 02:28:58.536701	2020-07-25 02:41:24.215901	0 days 00:12:25.679200000	0.05	5.457284331124142e-05	9	3					COMPLETE
18	36.79735839944486	2020-07-25 02:41:24.216417	2020-07-25 02:53:09.816923	0 days 00:11:45.600506000	0.05	0.00021100819767371347	10	3					COMPLETE
19	39.31380397198736	2020-07-25 02:53:09.817493	2020-07-25 03:04:23.797708	0 days 00:11:13.980215000	0.15000000000000002	0.01504458790875028	8	2				flat	COMPLETE
20	37.61214027913412	2020-07-25 03:04:23.798228	2020-07-25 03:25:10.157099	0 days 00:20:46.358871000	0.05	1.0412245911586517e-05	9	3					COMPLETE
21	36.96998677739808	2020-07-25 03:25:10.157628	2020-07-25 03:36:50.387885	0 days 00:11:40.230257000	0.0	0.00023468089378202368	10	3					COMPLETE
22	36.760163714637386	2020-07-25 03:36:50.388366	2020-07-25 03:48:29.219797	0 days 00:11:38.831431000	0.05	0.0002827559884030319	10	3					COMPLETE
23	37.31162652672437	2020-07-25 03:48:29.220322	2020-07-25 03:59:51.151530	0 days 00:11:21.931208000	0.5	0.0003011442553541063	10	3					COMPLETE
24	38.541093133496354	2020-07-25 03:59:51.152035	2020-07-25 04:10:38.237707	0 days 00:10:47.085672000	0.1	0.00072465670210195	9	3					COMPLETE
