number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	64.108795771942	2020-07-22 16:24:41.070318	2020-07-22 16:35:58.831884	0 days 00:11:17.761566000	0.4	0.00021022415986428447	8	2			pyramid_4	COMPLETE
1	102.34402050662526	2020-07-22 16:35:58.832384	2020-07-22 16:47:37.036775	0 days 00:11:38.204391000		0.0013722120110138186	7	1				COMPLETE
2	61.89467627649282	2020-07-22 16:47:37.037295	2020-07-22 16:57:52.910872	0 days 00:10:15.873577000	0.1	0.000729037812142659	7	2			pyramid_2	COMPLETE
3	76.69143029617862	2020-07-22 16:57:52.911361	2020-07-22 17:07:57.034550	0 days 00:10:04.123189000	0.45	0.01672022241570052	6	3		pyramid_4		COMPLETE
4	102.19877314128252	2020-07-22 17:07:57.035041	2020-07-22 17:22:05.420223	0 days 00:14:08.385182000		0.00019263719352608028	7	1				COMPLETE
5	102.23161561796287	2020-07-22 17:22:05.420680	2020-07-22 17:40:55.970151	0 days 00:18:50.549471000		1.8729916199732153e-05	10	1				COMPLETE
6	102.316381208209	2020-07-22 17:40:55.970634	2020-07-22 17:52:22.445538	0 days 00:11:26.474904000		0.0008616242427092781	9	1				COMPLETE
7	69.52102309929724	2020-07-22 17:52:22.446071	2020-07-22 18:03:11.721200	0 days 00:10:49.275129000	0.4	0.018492695772031567	7	3	flat			COMPLETE
8	65.1264594584363	2020-07-22 18:03:11.721701	2020-07-22 18:14:23.693403	0 days 00:11:11.971702000	0.05	0.0005264774982744318	10	3				COMPLETE
9	66.20505175676017	2020-07-22 18:14:23.693935	2020-07-22 18:26:42.993083	0 days 00:12:19.299148000	0.45	0.0014787449122270742	9	3				COMPLETE
10	61.92884556378568	2020-07-22 18:26:42.993613	2020-07-22 19:03:22.428185	0 days 00:36:39.434572000	0.05	2.6726650188373645e-05	6	2			pyramid_2	COMPLETE
11	61.78630666169859	2020-07-22 19:03:22.428685	2020-07-22 19:30:03.868014	0 days 00:26:41.439329000	0.05	4.5595882244631144e-05	6	2			pyramid_2	COMPLETE
12	61.83494699514914	2020-07-22 19:30:03.868523	2020-07-22 19:54:10.993848	0 days 00:24:07.125325000	0.2	5.513683081555876e-05	6	2			pyramid_2	COMPLETE
13	61.57925948489566	2020-07-22 19:54:10.994398	2020-07-22 20:31:15.565674	0 days 00:37:04.571276000	0.2	4.040978733987498e-05	6	2			flat	COMPLETE
14	61.53727615262005	2020-07-22 20:31:15.566249	2020-07-22 20:58:46.238439	0 days 00:27:30.672190000	0.25	6.156138258754967e-05	6	2			flat	COMPLETE
15	62.818696200289	2020-07-22 20:58:46.238968	2020-07-22 21:41:27.826610	0 days 00:42:41.587642000	0.25	1.1411423361617044e-05	8	2			flat	COMPLETE
16	61.58150830536833	2020-07-22 21:41:27.827150	2020-07-22 22:00:34.955320	0 days 00:19:07.128170000	0.25	0.00010582933279806576	6	2			flat	COMPLETE
17	62.17885903655439	2020-07-22 22:00:34.955855	2020-07-22 23:03:16.439358	0 days 01:02:41.483503000	0.15000000000000002	1.1026959474703033e-05	7	2			flat	COMPLETE
18	102.25273738477253	2020-07-22 23:03:16.439880	2020-07-22 23:22:52.331741	0 days 00:19:35.891861000		9.721661930332917e-05	6	1				COMPLETE
19	68.67587319743917	2020-07-22 23:22:52.332296	2020-07-22 23:34:12.867626	0 days 00:11:20.535330000	0.30000000000000004	0.0033031691937540817	8	3	pyramid_2			COMPLETE
20	62.27862734016668	2020-07-22 23:34:12.868120	2020-07-22 23:46:48.045686	0 days 00:12:35.177566000	0.30000000000000004	0.0002460625111759989	7	2			flat	COMPLETE
21	61.64656742679451	2020-07-22 23:46:48.046217	2020-07-23 00:11:14.561636	0 days 00:24:26.515419000	0.25	7.734072008758774e-05	6	2			flat	COMPLETE
22	61.58473413701146	2020-07-23 00:11:14.562170	2020-07-23 00:54:24.087253	0 days 00:43:09.525083000	0.2	3.0519968370186004e-05	6	2			flat	COMPLETE
23	61.7623876695439	2020-07-23 00:54:24.087814	2020-07-23 01:14:57.573085	0 days 00:20:33.485271000	0.30000000000000004	0.00010583144647922479	6	2			flat	COMPLETE
24	62.11948626250276	2020-07-23 01:14:57.573558	2020-07-23 01:56:37.783273	0 days 00:41:40.209715000	0.15000000000000002	1.6518619494569785e-05	7	2			flat	COMPLETE
