number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	45.68439482146383	2020-07-22 00:17:19.308452	2020-07-22 00:28:43.139434	0 days 00:11:23.830982000	0.30000000000000004	0.005330366898519926	10	3				COMPLETE
1	43.02531590514912	2020-07-22 00:28:43.139917	2020-07-22 00:39:42.184737	0 days 00:10:59.044820000	0.0	0.0016276798713284254	8	3	flat			COMPLETE
2	42.74237504888502	2020-07-22 00:39:42.185225	2020-07-22 00:56:52.827699	0 days 00:17:10.642474000	0.2	9.093386601031788e-05	8	2			flat	COMPLETE
3	42.206823024534465	2020-07-22 00:56:52.828251	2020-07-22 01:26:13.717306	0 days 00:29:20.889055000	0.35000000000000003	0.0001023244110170265	6	2			flat	COMPLETE
4	42.51552438488311	2020-07-22 01:26:13.717848	2020-07-22 02:07:31.000438	0 days 00:41:17.282590000	0.35000000000000003	1.9744490638674484e-05	7	2			pyramid_4	COMPLETE
5	44.18157303939615	2020-07-22 02:07:31.000980	2020-07-22 02:19:11.460350	0 days 00:11:40.459370000	0.35000000000000003	0.0008118347389243937	7	2			pyramid_4	COMPLETE
6	48.716500667971026	2020-07-22 02:19:11.460888	2020-07-22 02:29:51.965622	0 days 00:10:40.504734000	0.2	0.01662384263755587	7	3	pyramid_2			COMPLETE
7	43.16350026477835	2020-07-22 02:29:51.966233	2020-07-22 04:02:54.053668	0 days 01:33:02.087435000	0.30000000000000004	1.6983566595775106e-05	6	2			flat	COMPLETE
8	43.031706779825754	2020-07-22 04:02:54.054207	2020-07-22 04:13:41.148617	0 days 00:10:47.094410000	0.1	0.0028542164492215416	9	3				COMPLETE
9	43.89690191733055	2020-07-22 04:13:41.149168	2020-07-22 04:24:33.975709	0 days 00:10:52.826541000	0.35000000000000003	0.0008059379767758728	9	2		pyramid_2		COMPLETE
10	84.49826012357985	2020-07-22 04:24:33.976215	2020-07-22 04:37:58.378211	0 days 00:13:24.401996000		0.00017079895847114382	6	1				COMPLETE
11	84.5298077673879	2020-07-22 04:37:58.378719	2020-07-22 05:07:19.958328	0 days 00:29:21.579609000		1.0818158534071084e-05	7	1				COMPLETE
12	84.51114257569007	2020-07-22 05:07:19.958867	2020-07-22 05:26:31.405973	0 days 00:19:11.447106000		5.285393508927439e-05	6	1				COMPLETE
13	42.1549516393549	2020-07-22 05:26:31.406541	2020-07-22 06:04:00.035408	0 days 00:37:28.628867000	0.5	3.3364413321596425e-05	7	2			pyramid_4	COMPLETE
14	42.604594868850256	2020-07-22 06:04:00.035955	2020-07-22 06:27:36.632893	0 days 00:23:36.596938000	0.5	0.00020270378729716923	6	2			pyramid_2	COMPLETE
15	84.52018935957203	2020-07-22 06:27:36.633467	2020-07-22 06:41:29.703908	0 days 00:13:53.070441000		5.819687572789313e-05	7	1				COMPLETE
16	42.78335268774323	2020-07-22 06:41:29.704486	2020-07-22 07:01:01.772879	0 days 00:19:32.068393000	0.45	0.0002172899355005527	6	2			flat	COMPLETE
17	42.20224166883312	2020-07-22 07:01:01.773406	2020-07-22 07:31:33.684093	0 days 00:30:31.910687000	0.45	2.9771073892731367e-05	8	2			pyramid_4	COMPLETE
18	84.51860137245833	2020-07-22 07:31:33.684668	2020-07-22 07:45:42.082768	0 days 00:14:08.398100000		3.073350014243986e-05	9	1				COMPLETE
19	42.524468641108726	2020-07-22 07:45:42.083299	2020-07-22 07:57:16.800256	0 days 00:11:34.716957000	0.5	0.000343536567270825	8	3	pyramid_2			COMPLETE
20	42.31990200427641	2020-07-22 07:57:16.800765	2020-07-22 08:20:40.082475	0 days 00:23:23.281710000	0.45	3.613618678939671e-05	10	2				COMPLETE
21	42.44876987785568	2020-07-22 08:20:40.083024	2020-07-22 08:37:57.879956	0 days 00:17:17.796932000	0.45	7.973273237547606e-05	8	2			pyramid_4	COMPLETE
22	42.95525506296077	2020-07-22 08:37:57.880489	2020-07-22 08:53:33.619093	0 days 00:15:35.738604000	0.4	0.00011347166795306069	7	2			pyramid_4	COMPLETE
23	42.87525524457862	2020-07-22 08:53:33.619645	2020-07-22 09:46:06.755252	0 days 00:52:33.135607000	0.5	1.4590742009358038e-05	7	2			pyramid_4	COMPLETE
24	42.11686570077559	2020-07-22 09:46:06.755765	2020-07-22 10:14:56.811536	0 days 00:28:50.055771000	0.4	3.0004533342853405e-05	8	2			pyramid_4	COMPLETE
