number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	100.7102070075017	2020-07-22 18:37:41.816830	2020-07-22 18:48:47.806894	0 days 00:11:05.990064000		0.023123566306953926	9	1					COMPLETE
1	99.28694605535622	2020-07-22 18:48:47.807438	2020-07-22 19:06:17.272518	0 days 00:17:29.465080000		3.4447860125292703e-05	6	1					COMPLETE
2	41.19695196529307	2020-07-22 19:06:17.272980	2020-07-22 19:16:39.027890	0 days 00:10:21.754910000	0.05	0.0031399316555382204	9	3					COMPLETE
3	99.55386873063871	2020-07-22 19:16:39.028447	2020-07-22 19:27:41.813091	0 days 00:11:02.784644000		0.0015757328696722299	8	1					COMPLETE
4	41.60101422394182	2020-07-22 19:27:41.813552	2020-07-22 19:40:10.109727	0 days 00:12:28.296175000	0.45	0.0005740787037899642	7	3	pyramid_2				COMPLETE
5	99.24278708456984	2020-07-22 19:40:10.110198	2020-07-22 19:53:38.728133	0 days 00:13:28.617935000		0.00010437796717647016	9	1					COMPLETE
6	87.42245201315059	2020-07-22 19:53:38.728597	2020-07-22 20:04:09.811367	0 days 00:10:31.082770000	0.5	0.016579328696018237	10	3					COMPLETE
7	99.29651445911595	2020-07-22 20:04:09.811861	2020-07-22 20:14:13.697856	0 days 00:10:03.885995000		0.0009924766255218227	8	1					COMPLETE
8	42.16273722435566	2020-07-22 20:14:13.698321	2020-07-22 20:26:46.461835	0 days 00:12:32.763514000	0.25	0.00022906178834207792	8	3	pyramid_2				COMPLETE
9	99.24992925762676	2020-07-22 20:26:46.462333	2020-07-22 20:40:19.727807	0 days 00:13:33.265474000		7.772106872049418e-05	9	1					COMPLETE
10	44.599707018557304	2020-07-22 20:40:19.728288	2020-07-22 20:50:27.807916	0 days 00:10:08.079628000	0.0	0.004189189167575457	10	2					COMPLETE
11	44.09372758119535	2020-07-22 20:50:27.808409	2020-07-22 21:01:41.621488	0 days 00:11:13.813079000	0.0	0.004587721336842068	6	3		pyramid_4			COMPLETE
12	41.414077112794324	2020-07-22 21:01:41.621962	2020-07-22 21:14:47.667492	0 days 00:13:06.045530000	0.5	0.000535128986453344	7	2				flat	COMPLETE
13	44.86888624106413	2020-07-22 21:14:47.668011	2020-07-22 21:26:32.211303	0 days 00:11:44.543292000	0.2	0.0035588434165770926	7	2				flat	COMPLETE
14	43.20721053718952	2020-07-22 21:26:32.211790	2020-07-22 22:37:23.219717	0 days 01:10:51.007927000	0.15000000000000002	1.280610938046744e-05	7	2				flat	COMPLETE
15	42.42794925463494	2020-07-22 22:37:23.220178	2020-07-22 22:49:44.465663	0 days 00:12:21.245485000	0.35000000000000003	0.0002627513849653879	9	2			flat		COMPLETE
16	44.839291911783135	2020-07-22 22:49:44.466194	2020-07-22 23:02:37.880763	0 days 00:12:53.414569000	0.1	0.0020619819354265535	7	3	flat				COMPLETE
17	48.55488457704429	2020-07-22 23:02:37.881239	2020-07-22 23:12:52.453507	0 days 00:10:14.572268000	0.35000000000000003	0.013930283041009971	10	2					COMPLETE
18	43.40095819093966	2020-07-22 23:12:52.453959	2020-07-22 23:24:33.183071	0 days 00:11:40.729112000	0.05	0.0005096182749896591	6	3		pyramid_2			COMPLETE
19	43.06334836062058	2020-07-22 23:24:33.183564	2020-07-22 23:36:50.932146	0 days 00:12:17.748582000	0.30000000000000004	0.009554597214570672	8	2				pyramid_2	COMPLETE
20	42.10316537944962	2020-07-22 23:36:50.932619	2020-07-22 23:49:17.218240	0 days 00:12:26.285621000	0.45	0.0007383317767676998	9	3					COMPLETE
21	42.88932591319433	2020-07-22 23:49:17.218764	2020-07-23 00:01:43.399540	0 days 00:12:26.180776000	0.5	0.0005052515330873481	7	3	pyramid_2				COMPLETE
22	39.68538559158473	2020-07-23 00:01:43.400032	2020-07-23 00:13:47.872405	0 days 00:12:04.472373000	0.4	0.00022943512218582868	7	3	pyramid_2				COMPLETE
23	39.700308237808706	2020-07-23 00:13:47.872990	2020-07-23 00:25:51.057959	0 days 00:12:03.184969000	0.4	0.00020394360309394107	7	3	pyramid_2				COMPLETE
24	41.72497361468353	2020-07-23 00:25:51.058501	2020-07-23 00:44:22.233265	0 days 00:18:31.174764000	0.4	0.00010039023244713522	6	3		flat			COMPLETE
