number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	0.5778054347124663	2020-07-24 05:17:30.441413	2020-07-24 05:29:06.732675	0 days 00:11:36.291262000	0.30000000000000004	0.0003393076494408768	8	3	pyramid_2			COMPLETE
1	0.5787821115597447	2020-07-24 05:29:06.733178	2020-07-24 05:40:49.359869	0 days 00:11:42.626691000	0.35000000000000003	0.0003871447717804975	9	3				COMPLETE
2	0.5810329853149271	2020-07-24 05:40:49.360364	2020-07-24 05:52:20.162659	0 days 00:11:30.802295000	0.30000000000000004	0.0016964981348462599	10	3				COMPLETE
3	0.5966531192014818	2020-07-24 05:52:20.163194	2020-07-24 06:02:57.044375	0 days 00:10:36.881181000		0.013001974329129355	9	1				COMPLETE
4	0.5851380899006828	2020-07-24 06:02:57.044858	2020-07-24 06:13:28.270991	0 days 00:10:31.226133000	0.35000000000000003	0.01225403749541881	8	2			flat	COMPLETE
5	0.5949693955377415	2020-07-24 06:13:28.271496	2020-07-24 06:31:33.679817	0 days 00:18:05.408321000		4.684073156938615e-05	9	1				COMPLETE
6	0.632813186190687	2020-07-24 06:31:33.680451	2020-07-24 06:42:03.122396	0 days 00:10:29.441945000		0.02015102947471231	10	1				COMPLETE
7	0.5800968704981667	2020-07-24 06:42:03.122867	2020-07-24 06:57:56.424733	0 days 00:15:53.301866000	0.15000000000000002	1.2562020553483468e-05	9	3				COMPLETE
8	0.5811510605669942	2020-07-24 06:57:56.425260	2020-07-24 07:08:53.119204	0 days 00:10:56.693944000	0.05	0.002225387435259816	10	2				COMPLETE
9	0.58937172161216	2020-07-24 07:08:53.119710	2020-07-24 07:19:36.880273	0 days 00:10:43.760563000		0.010896680081027451	7	1				COMPLETE
10	0.5781812109219826	2020-07-24 07:19:36.880756	2020-07-24 07:32:17.411279	0 days 00:12:40.530523000	0.5	0.00012848907917984543	6	3		pyramid_2		COMPLETE
11	0.5781429756650585	2020-07-24 07:32:17.411770	2020-07-24 07:44:50.082382	0 days 00:12:32.670612000	0.5	0.00013448045257617174	6	3		pyramid_2		COMPLETE
12	0.5819518207391753	2020-07-24 07:44:50.082878	2020-07-24 07:56:25.174237	0 days 00:11:35.091359000	0.5	0.00017362207666201616	6	2			pyramid_4	COMPLETE
13	0.5782590019943977	2020-07-24 07:56:25.174750	2020-07-24 08:11:36.427244	0 days 00:15:11.252494000	0.45	3.0693917045693125e-05	7	3	pyramid_2			COMPLETE
14	0.5806812054106257	2020-07-24 08:11:36.427817	2020-07-24 08:22:04.832189	0 days 00:10:28.404372000	0.15000000000000002	0.0008936360230749868	7	3	pyramid_2			COMPLETE
15	0.5820328575593557	2020-07-24 08:22:04.832765	2020-07-24 08:33:24.387606	0 days 00:11:19.554841000	0.2	0.00018924098587810726	8	2			pyramid_2	COMPLETE
16	0.5781582090465873	2020-07-24 08:33:24.388124	2020-07-24 08:52:05.265645	0 days 00:18:40.877521000	0.4	5.717048250904059e-05	7	3	flat			COMPLETE
17	0.5905635565039291	2020-07-24 08:52:05.266195	2020-07-24 09:02:34.730700	0 days 00:10:29.464505000	0.0	1.0067820031115171e-05	8	2			pyramid_4	COMPLETE
18	0.5791819692463431	2020-07-24 09:02:34.731255	2020-07-24 09:14:11.976421	0 days 00:11:37.245166000	0.25	0.0005654114100605874	6	3		pyramid_2		COMPLETE
19	0.5817429827495599	2020-07-24 09:14:11.977000	2020-07-24 09:24:39.984398	0 days 00:10:28.007398000	0.45	0.0036154146091424808	8	3	pyramid_2			COMPLETE
20	0.5821440686928745	2020-07-24 09:24:39.984914	2020-07-24 09:35:36.059780	0 days 00:10:56.074866000	0.1	0.00030780433824134445	7	2			flat	COMPLETE
21	0.5783101859613861	2020-07-24 09:35:36.060259	2020-07-24 09:51:13.293566	0 days 00:15:37.233307000	0.4	7.163067386700949e-05	7	3	flat			COMPLETE
22	0.5813764842717289	2020-07-24 09:51:13.294052	2020-07-24 10:07:48.069339	0 days 00:16:34.775287000	0.4	2.869144897189776e-05	6	3		flat		COMPLETE
23	0.5782009572174589	2020-07-24 10:07:48.069913	2020-07-24 10:22:26.531335	0 days 00:14:38.461422000	0.30000000000000004	9.551374417773633e-05	7	3	flat			COMPLETE
24	0.5772032368279284	2020-07-24 10:22:26.531885	2020-07-24 10:41:23.413620	0 days 00:18:56.881735000	0.45	2.0643990698503294e-05	6	3		pyramid_4		COMPLETE
