number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5920388097653444	2020-07-22 00:29:49.252600	2020-07-22 00:40:25.047716	0 days 00:10:35.795116000	0.1	0.0044320170333081695	7	3	pyramid_2			COMPLETE
1	0.6367450037696809	2020-07-22 00:40:25.048284	2020-07-22 00:50:21.844628	0 days 00:09:56.796344000		8.978064245384925e-05	6	1				COMPLETE
2	0.5920319359754342	2020-07-22 00:50:21.845160	2020-07-22 01:03:43.287074	0 days 00:13:21.441914000	0.15000000000000002	2.8885784850008425e-05	7	3	pyramid_2			COMPLETE
3	0.6324985868823307	2020-07-22 01:03:43.287642	2020-07-22 01:13:27.993962	0 days 00:09:44.706320000		6.527472709580834e-05	10	1				COMPLETE
4	0.5923628036472041	2020-07-22 01:13:27.994533	2020-07-22 01:23:29.428487	0 days 00:10:01.433954000	0.45	0.0023894978066320315	7	3	pyramid_2			COMPLETE
5	0.5994914350478726	2020-07-22 01:23:29.429036	2020-07-22 01:33:40.189133	0 days 00:10:10.760097000	0.45	0.016427048310806533	9	2		pyramid_2		COMPLETE
6	0.5927360728921842	2020-07-22 01:33:40.189658	2020-07-22 01:43:42.169017	0 days 00:10:01.979359000	0.15000000000000002	0.0046005626159256715	8	3	flat			COMPLETE
7	0.5934578175071133	2020-07-22 01:43:42.181164	2020-07-22 01:54:09.759273	0 days 00:10:27.578109000	0.35000000000000003	0.016021886725030406	10	2				COMPLETE
8	0.6321580727979422	2020-07-22 01:54:09.759783	2020-07-22 02:03:41.388414	0 days 00:09:31.628631000		0.0001407616344609725	9	1				COMPLETE
9	0.6102753655489588	2020-07-22 02:03:41.388923	2020-07-22 02:14:14.595183	0 days 00:10:33.206260000		0.010993655248803478	6	1				COMPLETE
10	0.623932115900527	2020-07-22 02:14:14.595689	2020-07-22 02:24:12.961775	0 days 00:09:58.366086000	0.0	1.2011833652683891e-05	7	3	pyramid_2			COMPLETE
11	0.5913372084518959	2020-07-22 02:24:12.962332	2020-07-22 02:33:58.089530	0 days 00:09:45.127198000	0.1	0.0006148192968451588	7	3	pyramid_2			COMPLETE
12	0.5918714079110629	2020-07-22 02:33:58.090063	2020-07-22 02:44:31.557950	0 days 00:10:33.467887000	0.2	0.0008148158139280363	8	2			flat	COMPLETE
13	0.5919027534212786	2020-07-22 02:44:31.558486	2020-07-22 02:55:18.460219	0 days 00:10:46.901733000	0.25	0.0005980370465551815	8	2			flat	COMPLETE
14	0.5918088424664628	2020-07-22 02:55:18.460752	2020-07-22 03:06:00.260103	0 days 00:10:41.799351000	0.0	0.0006175252207532922	9	2		flat		COMPLETE
15	0.591775688832466	2020-07-22 03:06:00.260617	2020-07-22 03:16:06.362709	0 days 00:10:06.102092000	0.0	0.000341185478640931	9	2		flat		COMPLETE
16	0.5903196892798772	2020-07-22 03:16:06.363231	2020-07-22 03:26:51.477868	0 days 00:10:45.114637000	0.05	0.00022736240440893591	9	3				COMPLETE
17	0.591305270774295	2020-07-22 03:26:51.478334	2020-07-22 03:37:35.019285	0 days 00:10:43.540951000	0.05	0.00025367446452500436	10	3				COMPLETE
18	0.5909663989907199	2020-07-22 03:37:35.031970	2020-07-22 03:48:35.340727	0 days 00:11:00.308757000	0.05	0.0001600068346968556	10	3				COMPLETE
19	0.5917202755011467	2020-07-22 03:48:35.341280	2020-07-22 04:01:18.073147	0 days 00:12:42.731867000	0.30000000000000004	3.202796875265148e-05	10	3				COMPLETE
20	0.590036611051641	2020-07-22 04:01:18.073693	2020-07-22 04:11:52.331472	0 days 00:10:34.257779000	0.05	0.00016992321650586477	9	3				COMPLETE
21	0.5902242091994281	2020-07-22 04:11:52.331958	2020-07-22 04:22:32.317350	0 days 00:10:39.985392000	0.05	0.00019048187627311152	9	3				COMPLETE
22	0.5910359052213426	2020-07-22 04:22:32.317821	2020-07-22 04:32:32.118719	0 days 00:09:59.800898000	0.05	0.0015863842128534468	9	3				COMPLETE
23	0.5914753432404563	2020-07-22 04:32:32.119201	2020-07-22 04:43:43.769430	0 days 00:11:11.650229000	0.1	6.981250459363428e-05	9	3				COMPLETE
24	0.5906752301100043	2020-07-22 04:43:43.779862	2020-07-22 04:54:20.416207	0 days 00:10:36.636345000	0.15000000000000002	0.0002688526338653641	9	3				COMPLETE
