number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5147230403294719	2020-07-21 03:14:43.681592	2020-07-21 03:26:18.170672	0 days 00:11:34.489080000	0.30000000000000004	0.00018621313261238303	10	3					COMPLETE
1	inf	2020-07-21 03:26:18.171270	2020-07-21 03:34:31.313057	0 days 00:08:13.141787000	0.1	0.016937317916145826	7	3	pyramid_2				COMPLETE
2	0.5157732641766495	2020-07-21 03:34:31.313621	2020-07-21 03:46:55.715444	0 days 00:12:24.401823000	0.05	0.003641384886610408	10	2					COMPLETE
3	0.5148084007165371	2020-07-21 03:46:55.715926	2020-07-21 03:57:58.450118	0 days 00:11:02.734192000	0.45	0.00021375869007346924	9	3					COMPLETE
4	0.515239776942711	2020-07-21 03:57:58.450552	2020-07-21 04:10:08.710676	0 days 00:12:10.260124000	0.1	0.00012503932056609994	6	3		pyramid_2			COMPLETE
5	0.5256744873340313	2020-07-21 04:10:08.711201	2020-07-21 04:31:59.550852	0 days 00:21:50.839651000	0.2	1.2261819943955418e-05	7	2				pyramid_2	COMPLETE
6	inf	2020-07-21 04:31:59.551404	2020-07-21 04:41:36.553971	0 days 00:09:37.002567000	0.45	0.014279563470696649	10	2					COMPLETE
7	0.5191068467419301	2020-07-21 04:41:36.554495	2020-07-21 04:53:07.703144	0 days 00:11:31.148649000	0.5	0.0001381064287745317	9	2			pyramid_2		COMPLETE
8	0.5266655243840711	2020-07-21 04:53:07.703687	2020-07-21 05:04:41.172410	0 days 00:11:33.468723000	0.0	0.0001280465461865408	8	2				pyramid_2	COMPLETE
9	0.5157546276772159	2020-07-21 05:04:41.172956	2020-07-21 05:15:51.491592	0 days 00:11:10.318636000	0.5	0.0012462864669624547	7	3	pyramid_2				COMPLETE
10	0.5242208522000638	2020-07-21 05:15:51.492100	2020-07-21 05:28:05.757324	0 days 00:12:14.265224000		1.5071273597720394e-05	9	1					COMPLETE
11	0.5158502600051785	2020-07-21 05:28:05.757817	2020-07-21 05:39:32.919504	0 days 00:11:27.161687000	0.35000000000000003	0.00043361523879100383	9	3					COMPLETE
12	0.5144130392816613	2020-07-21 05:39:32.919961	2020-07-21 05:52:42.737785	0 days 00:13:09.817824000	0.35000000000000003	4.6821146234110004e-05	10	3					COMPLETE
13	0.5244148346068689	2020-07-21 05:52:42.738272	2020-07-21 06:03:17.438235	0 days 00:10:34.699963000		3.856289307225627e-05	10	1					COMPLETE
14	0.5145265711911688	2020-07-21 06:03:17.438718	2020-07-21 06:18:47.271201	0 days 00:15:29.832483000	0.30000000000000004	3.0013043900067692e-05	10	3					COMPLETE
15	0.5182615136105228	2020-07-21 06:18:47.271733	2020-07-21 06:33:33.160086	0 days 00:14:45.888353000	0.35000000000000003	2.8946066143731528e-05	8	3	flat				COMPLETE
16	0.51446752928507	2020-07-21 06:33:33.160573	2020-07-21 06:46:45.266430	0 days 00:13:12.105857000	0.2	4.407440357894247e-05	10	3					COMPLETE
17	0.5156291995879088	2020-07-21 06:46:45.266939	2020-07-21 06:58:42.801758	0 days 00:11:57.534819000	0.2	7.066804309758763e-05	9	3					COMPLETE
18	0.5324530478594685	2020-07-21 06:58:42.802301	2020-07-21 07:09:43.833765	0 days 00:11:01.031464000	0.25	1.0133979582801176e-05	10	2					COMPLETE
19	0.5257604285897036	2020-07-21 07:09:43.834265	2020-07-21 07:20:22.863036	0 days 00:10:39.028771000		0.000918222527349337	8	1					COMPLETE
20	0.515965835890867	2020-07-21 07:20:22.863577	2020-07-21 07:32:20.809354	0 days 00:11:57.945777000	0.15000000000000002	5.686710053469804e-05	9	3					COMPLETE
21	0.5146597667697465	2020-07-21 07:32:20.809841	2020-07-21 07:47:52.071680	0 days 00:15:31.261839000	0.35000000000000003	2.417170309378313e-05	10	3					COMPLETE
22	0.5145906706522462	2020-07-21 07:47:52.072177	2020-07-21 08:03:27.314731	0 days 00:15:35.242554000	0.30000000000000004	2.0940772149027632e-05	10	3					COMPLETE
23	0.5145898021483822	2020-07-21 08:03:27.315213	2020-07-21 08:15:44.673010	0 days 00:12:17.357797000	0.25	6.326876147935809e-05	10	3					COMPLETE
24	0.5152391617696545	2020-07-21 08:15:44.673531	2020-07-21 08:27:18.224011	0 days 00:11:33.550480000	0.4	0.0003757460723273329	9	3					COMPLETE
