number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	0.523279882746392	2020-07-21 08:27:20.200208	2020-07-21 08:38:06.683328	0 days 00:10:46.483120000		0.00025856840070379174	7	1			COMPLETE
1	0.524816397642478	2020-07-21 08:38:06.683838	2020-07-21 08:49:14.832430	0 days 00:11:08.148592000		0.0009082495203428679	9	1			COMPLETE
2	0.5253846508535424	2020-07-21 08:49:14.832908	2020-07-21 08:59:57.451023	0 days 00:10:42.618115000		0.0019336957702937633	10	1			COMPLETE
3	0.5162538862894532	2020-07-21 08:59:57.451480	2020-07-21 09:12:10.256935	0 days 00:12:12.805455000	0.4	0.006369486265943499	6	2		flat	COMPLETE
4	0.5158570712129169	2020-07-21 09:12:10.257481	2020-07-21 09:23:56.615670	0 days 00:11:46.358189000	0.45	0.0013648175278086383	7	2		flat	COMPLETE
5	0.5228884225334349	2020-07-21 09:23:56.616199	2020-07-21 09:34:38.467289	0 days 00:10:41.851090000		0.00015203367886647403	10	1			COMPLETE
6	0.5167258562784507	2020-07-21 09:34:38.467811	2020-07-21 09:46:20.811163	0 days 00:11:42.343352000	0.30000000000000004	0.00011344579708290911	6	2		pyramid_4	COMPLETE
7	0.525275307463925	2020-07-21 09:46:20.811702	2020-07-21 09:57:02.878738	0 days 00:10:42.067036000		0.0014325770886962315	9	1			COMPLETE
8	0.5149782069616883	2020-07-21 09:57:02.879230	2020-07-21 10:13:36.781570	0 days 00:16:33.902340000	0.45	1.5974142693986174e-05	9	3			COMPLETE
9	inf	2020-07-21 10:13:36.782097	2020-07-21 10:21:35.352488	0 days 00:07:58.570391000	0.5	0.01653174846661898	8	3	pyramid_2		COMPLETE
10	0.5234424626816699	2020-07-21 10:21:35.352988	2020-07-21 10:37:40.017206	0 days 00:16:04.664218000	0.0	1.2369731891771895e-05	9	3			COMPLETE
11	0.518277674249165	2020-07-21 10:37:40.017797	2020-07-21 10:58:24.400393	0 days 00:20:44.382596000	0.5	1.600686972136434e-05	7	3	flat		COMPLETE
12	0.522721713200172	2020-07-21 10:58:24.400899	2020-07-21 11:11:35.538443	0 days 00:13:11.137544000	0.1	4.462339197254799e-05	8	2		pyramid_2	COMPLETE
13	0.5152078752053932	2020-07-21 11:11:35.538913	2020-07-21 11:23:22.408571	0 days 00:11:46.869658000	0.35000000000000003	0.005901389159135955	7	3	flat		COMPLETE
14	inf	2020-07-21 11:23:22.409083	2020-07-21 11:31:05.373563	0 days 00:07:42.964480000	0.30000000000000004	0.027111340596630104	8	3	flat		COMPLETE
15	0.5166347975321938	2020-07-21 11:31:05.374011	2020-07-21 11:42:44.463225	0 days 00:11:39.089214000	0.35000000000000003	0.007240086719126154	9	3			COMPLETE
16	0.5168489947264222	2020-07-21 11:42:44.463685	2020-07-21 11:57:00.123100	0 days 00:14:15.659415000	0.2	3.746897173913052e-05	7	3	flat		COMPLETE
17	0.5153911116825175	2020-07-21 11:57:00.123631	2020-07-21 12:08:06.714796	0 days 00:11:06.591165000	0.2	0.004549199928962663	10	3			COMPLETE
18	0.516244862712452	2020-07-21 12:08:06.715261	2020-07-21 12:19:51.137828	0 days 00:11:44.422567000	0.4	0.00039758785721175587	6	2		pyramid_2	COMPLETE
19	inf	2020-07-21 12:19:51.138331	2020-07-21 12:27:37.321628	0 days 00:07:46.183297000	0.4	0.029509301821336518	8	3	pyramid_2		COMPLETE
20	0.5158429895969326	2020-07-21 12:27:37.322150	2020-07-21 12:38:36.784780	0 days 00:10:59.462630000	0.5	0.0035383261653958126	9	3			COMPLETE
21	inf	2020-07-21 12:38:36.785253	2020-07-21 12:47:02.661251	0 days 00:08:25.875998000	0.2	0.011245700648402794	10	3			COMPLETE
22	0.5159937339533124	2020-07-21 12:47:02.661739	2020-07-21 12:58:15.981857	0 days 00:11:13.320118000	0.2	0.0029517998127786896	10	3			COMPLETE
23	0.5157639709594078	2020-07-21 12:58:15.982316	2020-07-21 13:09:50.416020	0 days 00:11:34.433704000	0.30000000000000004	0.0046751384816519055	10	3			COMPLETE
24	0.5143674665361669	2020-07-21 13:09:50.416490	2020-07-21 13:21:13.997153	0 days 00:11:23.580663000	0.1	0.0005956308583098316	9	3			COMPLETE
