number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_two_layers_architecture_3	state
0	0.6113571492135261	2020-07-21 15:20:21.726807	2020-07-21 15:38:58.803001	0 days 00:18:37.076194000	0.45	1.0259917782615503e-05	10	3		COMPLETE
1	0.6415138373134623	2020-07-21 15:38:58.803503	2020-07-21 15:50:57.735773	0 days 00:11:58.932270000		0.010543668190202136	8	1		COMPLETE
2	0.6520185824798125	2020-07-21 15:50:57.736281	2020-07-21 16:04:35.323930	0 days 00:13:37.587649000		0.0012643410297728396	7	1		COMPLETE
3	0.6150473996608474	2020-07-21 16:04:35.324449	2020-07-21 16:16:44.114231	0 days 00:12:08.789782000	0.5	0.0004170716442808486	8	2	flat	COMPLETE
4	0.6437958929869688	2020-07-21 16:16:44.114779	2020-07-21 16:29:09.855579	0 days 00:12:25.740800000		0.0044824581291694025	7	1		COMPLETE
5	0.6146721660772537	2020-07-21 16:29:09.856089	2020-07-21 16:41:27.901314	0 days 00:12:18.045225000	0.4	0.0004225717845462108	7	2	pyramid_4	COMPLETE
6	0.6429140105243282	2020-07-21 16:41:27.901768	2020-07-21 16:57:34.716729	0 days 00:16:06.814961000		0.0041180950605843696	6	1		COMPLETE
7	0.6133118846701058	2020-07-21 16:57:34.717270	2020-07-21 17:18:45.155788	0 days 00:21:10.438518000	0.4	1.1572913174588938e-05	9	3		COMPLETE
8	0.6149285951676777	2020-07-21 17:18:45.156320	2020-07-21 17:39:40.826704	0 days 00:20:55.670384000	0.5	8.240539101036574e-05	6	2	pyramid_2	COMPLETE
9	0.6263500706936594	2020-07-21 17:39:40.827225	2020-07-21 17:53:20.158775	0 days 00:13:39.331550000	0.05	7.361245256092072e-05	10	2		COMPLETE
10	0.6116638821535254	2020-07-21 17:53:20.159255	2020-07-21 18:10:04.982410	0 days 00:16:44.823155000	0.2	1.0961044883463415e-05	10	3		COMPLETE
11	0.6120288374046643	2020-07-21 18:10:04.982915	2020-07-21 18:26:47.638134	0 days 00:16:42.655219000	0.15000000000000002	1.01238117237422e-05	10	3		COMPLETE
12	0.6102318726327965	2020-07-21 18:26:47.638598	2020-07-21 18:41:03.795233	0 days 00:14:16.156635000	0.25	4.057519476408038e-05	10	3		COMPLETE
13	0.6125590402483413	2020-07-21 18:41:03.795805	2020-07-21 18:55:16.943836	0 days 00:14:13.148031000	0.30000000000000004	4.7462672982017275e-05	9	3		COMPLETE
14	0.6134742714083374	2020-07-21 18:55:16.944387	2020-07-21 19:11:14.246109	0 days 00:15:57.301722000	0.30000000000000004	2.874476003497269e-05	9	3		COMPLETE
15	0.6100567379992794	2020-07-21 19:11:14.246571	2020-07-21 19:23:19.070968	0 days 00:12:04.824397000	0.05	0.00020896789639972114	10	3		COMPLETE
16	0.6122422809685152	2020-07-21 19:23:19.071412	2020-07-21 19:35:03.599551	0 days 00:11:44.528139000	0.0	0.0001925574784977862	9	3		COMPLETE
17	0.6169922624582953	2020-07-21 19:35:03.600060	2020-07-21 19:46:49.212714	0 days 00:11:45.612654000	0.1	0.0001594478994674487	10	2		COMPLETE
18	0.6116155269498007	2020-07-21 19:46:49.213208	2020-07-21 19:57:58.029576	0 days 00:11:08.816368000	0.2	0.0017202000797132265	9	3		COMPLETE
19	0.6105269806623248	2020-07-21 19:57:58.030046	2020-07-21 20:12:18.349861	0 days 00:14:20.319815000	0.30000000000000004	3.0343104087759808e-05	10	3		COMPLETE
20	0.6161253973963406	2020-07-21 20:12:18.350302	2020-07-21 20:24:05.187919	0 days 00:11:46.837617000	0.0	0.0001821058045966146	8	2	pyramid_4	COMPLETE
21	0.6106131430507022	2020-07-21 20:24:05.188411	2020-07-21 20:38:41.050629	0 days 00:14:35.862218000	0.30000000000000004	2.7193326599387392e-05	10	3		COMPLETE
22	0.6106298924183866	2020-07-21 20:38:41.051113	2020-07-21 20:53:08.841335	0 days 00:14:27.790222000	0.25	2.6670172454081096e-05	10	3		COMPLETE
23	0.6113992732728508	2020-07-21 20:53:08.841802	2020-07-21 21:05:57.239613	0 days 00:12:48.397811000	0.35000000000000003	0.0001056223256929111	9	3		COMPLETE
24	0.6096705239023602	2020-07-21 21:05:57.240119	2020-07-21 21:20:13.978415	0 days 00:14:16.738296000	0.2	4.860911701271658e-05	10	3		COMPLETE
