number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.593315141092637	2020-07-20 15:48:41.967651	2020-07-20 16:02:17.122176	0 days 00:13:35.154525000		0.013239828776461245	10	1					COMPLETE
1	0.5605493821589675	2020-07-20 16:02:17.122655	2020-07-20 16:17:12.079873	0 days 00:14:54.957218000		0.002362411156512684	8	1					COMPLETE
2	0.5286254975498349	2020-07-20 16:17:12.080307	2020-07-20 16:30:07.788012	0 days 00:12:55.707705000	0.5	0.0005751719658560021	10	2					COMPLETE
3	0.5296904000120545	2020-07-20 16:30:07.788478	2020-07-20 16:41:22.497033	0 days 00:11:14.708555000	0.1	0.00045362184883734354	10	2					COMPLETE
4	0.533717993732255	2020-07-20 16:41:22.497471	2020-07-20 16:53:49.051892	0 days 00:12:26.554421000	0.15000000000000002	0.0063431528533084034	10	2					COMPLETE
5	0.5247860223076546	2020-07-20 16:53:49.052339	2020-07-20 17:13:42.749510	0 days 00:19:53.697171000	0.35000000000000003	2.9509051896734948e-05	10	3					COMPLETE
6	0.5257296223872924	2020-07-20 17:13:42.750002	2020-07-20 18:00:55.507931	0 days 00:47:12.757929000	0.1	2.2946387293382904e-05	6	3		flat			COMPLETE
7	0.630475687531768	2020-07-20 18:00:55.508412	2020-07-20 18:10:59.110192	0 days 00:10:03.601780000		0.027684513714490076	9	1					COMPLETE
8	0.5640445521232742	2020-07-20 18:10:59.110728	2020-07-20 18:20:46.156481	0 days 00:09:47.045753000		0.006969274970442072	8	1					COMPLETE
9	inf	2020-07-20 18:20:46.156929	2020-07-20 18:28:20.060503	0 days 00:07:33.903574000	0.30000000000000004	0.020666818991254214	6	3		pyramid_4			COMPLETE
10	0.5256857115420559	2020-07-20 18:28:20.060964	2020-07-20 19:40:23.592858	0 days 01:12:03.531894000	0.4	1.045156664292355e-05	7	3	flat				COMPLETE
11	0.5253116233327163	2020-07-20 19:40:23.593347	2020-07-20 20:49:26.880145	0 days 01:09:03.286798000	0.4	1.3791577175979733e-05	7	3	flat				COMPLETE
12	0.524815293645612	2020-07-20 20:49:26.880629	2020-07-20 21:15:23.974344	0 days 00:25:57.093715000	0.35000000000000003	6.842560631336922e-05	7	3	flat				COMPLETE
13	0.5245464939032024	2020-07-20 21:15:23.974824	2020-07-20 21:31:00.528328	0 days 00:15:36.553504000	0.30000000000000004	7.875060385756115e-05	7	3	pyramid_2				COMPLETE
14	0.524841761742557	2020-07-20 21:31:00.528859	2020-07-20 21:45:24.758478	0 days 00:14:24.229619000	0.25	7.690243557307387e-05	9	3					COMPLETE
15	0.5298555010184908	2020-07-20 21:45:24.758984	2020-07-20 21:58:17.788180	0 days 00:12:53.029196000	0.5	8.597463201469827e-05	9	2			pyramid_2		COMPLETE
16	0.5254910669279208	2020-07-20 21:58:17.788673	2020-07-20 22:10:29.160575	0 days 00:12:11.371902000	0.2	0.0002455309853035182	7	3	pyramid_2				COMPLETE
17	0.5385609664409311	2020-07-20 22:10:29.161069	2020-07-20 22:26:55.703145	0 days 00:16:26.542076000	0.0	3.239422683538811e-05	8	2				pyramid_2	COMPLETE
18	0.5244035727958768	2020-07-20 22:26:55.703647	2020-07-20 22:44:51.492114	0 days 00:17:55.788467000	0.4	0.00018398207226853744	6	3		pyramid_2			COMPLETE
19	0.5241191469478209	2020-07-20 22:44:51.492601	2020-07-20 23:02:39.992310	0 days 00:17:48.499709000	0.45	0.00019003624818462707	6	3		pyramid_2			COMPLETE
20	0.5285467567655595	2020-07-20 23:02:39.992810	2020-07-20 23:18:37.720764	0 days 00:15:57.727954000	0.45	0.0013019207921914071	6	2				pyramid_4	COMPLETE
21	0.5240031798568335	2020-07-20 23:18:37.721265	2020-07-20 23:37:47.598224	0 days 00:19:09.876959000	0.45	0.00020184354751760338	6	3		pyramid_2			COMPLETE
22	0.5239758107508994	2020-07-20 23:37:47.598740	2020-07-20 23:55:47.801404	0 days 00:18:00.202664000	0.45	0.00021566836605052802	6	3		pyramid_2			COMPLETE
23	0.52393086530493	2020-07-20 23:55:47.801903	2020-07-21 00:13:58.493586	0 days 00:18:10.691683000	0.5	0.00027889788281395785	6	3		pyramid_2			COMPLETE
24	0.5242043228552942	2020-07-21 00:13:58.494075	2020-07-21 00:31:53.929146	0 days 00:17:55.435071000	0.5	0.0006741936876232868	6	3		pyramid_2			COMPLETE
