number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5594493681249431	2020-07-21 00:31:56.742717	2020-07-21 00:50:24.340073	0 days 00:18:27.597356000		0.0001413206077832971	8	1				COMPLETE
1	0.5292722324095432	2020-07-21 00:50:24.340547	2020-07-21 01:02:58.632453	0 days 00:12:34.291906000	0.2	0.00016085585505734237	8	2			pyramid_2	COMPLETE
2	0.5329060429194677	2020-07-21 01:02:58.632990	2020-07-21 01:17:08.958600	0 days 00:14:10.325610000	0.05	6.524860934779104e-05	9	2		flat		COMPLETE
3	0.5295888156197378	2020-07-21 01:17:08.959073	2020-07-21 01:29:09.115896	0 days 00:12:00.156823000	0.15000000000000002	0.004555460572184488	7	2			pyramid_4	COMPLETE
4	0.5594915154971025	2020-07-21 01:29:09.116439	2020-07-21 01:47:47.029024	0 days 00:18:37.912585000		2.546036876373326e-05	6	1				COMPLETE
5	0.5261061161789242	2020-07-21 01:47:47.029527	2020-07-21 01:59:15.283129	0 days 00:11:28.253602000	0.05	0.0013078701896749548	6	3	pyramid_2			COMPLETE
6	0.5596461036481903	2020-07-21 01:59:15.283612	2020-07-21 02:19:10.972685	0 days 00:19:55.689073000		3.863783600540128e-05	8	1				COMPLETE
7	0.5301515954078531	2020-07-21 02:19:10.973188	2020-07-21 02:33:18.944127	0 days 00:14:07.970939000	0.25	0.008280794275342835	6	2			pyramid_4	COMPLETE
8	0.5286498428035477	2020-07-21 02:33:18.944718	2020-07-21 03:04:21.748052	0 days 00:31:02.803334000	0.35000000000000003	8.726919996692775e-05	7	2			flat	COMPLETE
9	0.5291900471249978	2020-07-21 03:04:21.748612	2020-07-21 03:17:23.910114	0 days 00:13:02.161502000	0.0	0.0006617818234223236	6	2			pyramid_2	COMPLETE
10	0.5255348944503327	2020-07-21 03:17:23.910720	2020-07-21 03:33:55.121180	0 days 00:16:31.210460000	0.5	0.0011144981496653292	10	3				COMPLETE
11	0.5262543510725687	2020-07-21 03:33:55.121739	2020-07-21 03:48:54.489715	0 days 00:14:59.367976000	0.45	0.0014968965317983807	10	3				COMPLETE
12	0.5278930866973005	2020-07-21 03:48:54.490315	2020-07-21 04:04:32.236998	0 days 00:15:37.746683000	0.5	0.0023606635765743593	10	3				COMPLETE
13	inf	2020-07-21 04:04:32.237457	2020-07-21 04:11:43.996120	0 days 00:07:11.758663000	0.35000000000000003	0.02681005163635043	9	3				COMPLETE
14	0.5255160036981363	2020-07-21 04:11:43.996577	2020-07-21 04:23:09.664741	0 days 00:11:25.668164000	0.1	0.0004417937150792288	9	3				COMPLETE
15	0.5252444012138959	2020-07-21 04:23:09.665260	2020-07-21 04:34:43.862119	0 days 00:11:34.196859000	0.1	0.00037708659802311844	9	3				COMPLETE
16	0.5255911603462554	2020-07-21 04:34:43.862650	2020-07-21 04:47:18.435001	0 days 00:12:34.572351000	0.1	0.0003178179175972568	9	3				COMPLETE
17	0.5255913783131521	2020-07-21 04:47:18.435502	2020-07-21 04:59:17.861717	0 days 00:11:59.426215000	0.0	0.0003332223038634896	9	3				COMPLETE
18	0.5252984427034024	2020-07-21 04:59:17.862264	2020-07-21 05:22:19.067286	0 days 00:23:01.205022000	0.15000000000000002	1.576625061074721e-05	9	3				COMPLETE
19	0.5251879943059651	2020-07-21 05:22:19.067903	2020-07-21 05:49:32.344977	0 days 00:27:13.277074000	0.25	1.0654103323483587e-05	10	3				COMPLETE
20	0.5250617305456626	2020-07-21 05:49:32.345549	2020-07-21 06:17:46.996823	0 days 00:28:14.651274000	0.30000000000000004	1.1884510841811079e-05	10	3				COMPLETE
21	0.5251638508429725	2020-07-21 06:17:46.997355	2020-07-21 06:45:07.654070	0 days 00:27:20.656715000	0.30000000000000004	1.0585818385104885e-05	10	3				COMPLETE
22	0.5252347548700524	2020-07-21 06:45:07.654590	2020-07-21 07:12:09.136840	0 days 00:27:01.482250000	0.30000000000000004	1.0065687699049083e-05	10	3				COMPLETE
23	0.5250963348816781	2020-07-21 07:12:09.137378	2020-07-21 07:39:56.023982	0 days 00:27:46.886604000	0.30000000000000004	1.2153065609098929e-05	10	3				COMPLETE
24	0.5245930519615261	2020-07-21 07:39:56.024535	2020-07-21 08:04:46.707985	0 days 00:24:50.683450000	0.4	2.3991961456924307e-05	10	3				COMPLETE
