number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.0995523665015876	2020-08-03 17:37:32.963099	2020-08-03 17:48:24.853602	0 days 00:10:51.890503000	0.5	0.0002780885710598323	10	3				COMPLETE
1	1.1203678273311386	2020-08-03 17:48:24.854278	2020-08-03 17:56:11.481134	0 days 00:07:46.626856000		0.0002011726508893837	9	1				COMPLETE
2	1.110807518165768	2020-08-03 17:56:11.481635	2020-08-03 18:04:15.648190	0 days 00:08:04.166555000	0.05	0.00562175422696065	9	3				COMPLETE
3	1.1216123793687212	2020-08-03 18:04:15.648646	2020-08-03 18:11:58.973320	0 days 00:07:43.324674000		0.0028228996930225354	8	1				COMPLETE
4	1.1393968383129964	2020-08-03 18:11:58.973838	2020-08-03 18:19:50.171977	0 days 00:07:51.198139000		0.004609978462953171	10	1				COMPLETE
5	1.1192677804040536	2020-08-03 18:19:50.172442	2020-08-03 18:27:35.207855	0 days 00:07:45.035413000		0.00014151735490272003	8	1				COMPLETE
6	inf	2020-08-03 18:27:35.208371	2020-08-03 18:31:06.478622	0 days 00:03:31.270251000	0.35000000000000003	0.009666607555478457	7	3	flat			COMPLETE
7	1.1188349985993022	2020-08-03 18:31:06.479157	2020-08-03 18:38:48.958659	0 days 00:07:42.479502000		0.0004825521954334502	6	1				COMPLETE
8	1.0996549043561368	2020-08-03 18:38:48.959183	2020-08-03 18:47:39.291606	0 days 00:08:50.332423000	0.35000000000000003	2.8387072413900012e-05	7	3	pyramid_2			COMPLETE
9	1.0985569692019959	2020-08-03 18:47:39.292194	2020-08-03 18:55:56.581332	0 days 00:08:17.289138000	0.2	0.00022002258705221468	7	2			pyramid_4	COMPLETE
10	1.1031171729432951	2020-08-03 18:55:56.581920	2020-08-03 19:06:51.533415	0 days 00:10:54.951495000	0.1	1.4142792826945985e-05	6	2			pyramid_4	COMPLETE
11	1.0954712779409133	2020-08-03 19:06:51.533978	2020-08-03 19:15:19.335288	0 days 00:08:27.801310000	0.5	8.05411109973772e-05	10	2				COMPLETE
12	1.1019580635533683	2020-08-03 19:15:19.335851	2020-08-03 19:23:36.853163	0 days 00:08:17.517312000	0.2	6.660083891072133e-05	7	2			flat	COMPLETE
13	1.1031635757813252	2020-08-03 19:23:36.853766	2020-08-03 19:31:53.292646	0 days 00:08:16.438880000	0.5	0.0014541510839189808	9	2		flat		COMPLETE
14	1.1025132434810543	2020-08-03 19:31:53.293188	2020-08-03 19:40:36.067393	0 days 00:08:42.774205000	0.2	4.8643265729661936e-05	7	2			pyramid_4	COMPLETE
15	1.1101070360530678	2020-08-03 19:40:36.067956	2020-08-03 19:48:47.763018	0 days 00:08:11.695062000	0.35000000000000003	0.0009399946303133469	6	2			pyramid_2	COMPLETE
16	inf	2020-08-03 19:48:47.763804	2020-08-03 19:51:29.043248	0 days 00:02:41.279444000	0.25	0.02660551119139006	8	2			pyramid_4	COMPLETE
17	1.0959000903669922	2020-08-03 19:51:29.043828	2020-08-03 19:59:49.454936	0 days 00:08:20.411108000	0.15000000000000002	8.65629419091731e-05	10	2				COMPLETE
18	1.1081741630876185	2020-08-03 19:59:49.455520	2020-08-03 20:11:48.852574	0 days 00:11:59.397054000	0.0	1.074057007364003e-05	10	2				COMPLETE
19	1.0962973612307185	2020-08-03 20:11:48.853164	2020-08-03 20:20:21.487249	0 days 00:08:32.634085000	0.1	8.524926928906954e-05	10	3				COMPLETE
20	1.0986813158234978	2020-08-03 20:20:21.487789	2020-08-03 20:29:02.743270	0 days 00:08:41.255481000	0.45	3.15362611528516e-05	9	2		pyramid_2		COMPLETE
21	1.1021703102525344	2020-08-03 20:29:02.743801	2020-08-03 20:37:34.617009	0 days 00:08:31.873208000	0.1	0.00010674044922146614	10	3				COMPLETE
22	1.0951933157590144	2020-08-03 20:37:34.617561	2020-08-03 20:46:05.656554	0 days 00:08:31.038993000	0.15000000000000002	6.163971759181004e-05	10	3				COMPLETE
23	1.0987989681478125	2020-08-03 20:46:05.657103	2020-08-03 20:54:34.792073	0 days 00:08:29.134970000	0.15000000000000002	2.641333634653832e-05	9	3				COMPLETE
24	1.102697881634629	2020-08-03 20:54:34.792537	2020-08-03 21:02:53.659339	0 days 00:08:18.866802000	0.25	0.00044991758569698715	10	2				COMPLETE
