number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.0769448025878703	2020-08-03 21:02:57.102373	2020-08-03 21:11:58.876369	0 days 00:09:01.773996000		0.004800778666982428	6	1					COMPLETE
1	1.0509710119433406	2020-08-03 21:11:58.876869	2020-08-03 21:20:43.789435	0 days 00:08:44.912566000	0.05	5.5487926153722215e-05	8	2				pyramid_2	COMPLETE
2	1.0815236643997614	2020-08-03 21:20:43.790041	2020-08-03 21:28:51.872968	0 days 00:08:08.082927000		0.00011146796313813334	8	1					COMPLETE
3	1.0473329110060745	2020-08-03 21:28:51.873513	2020-08-03 21:37:15.664565	0 days 00:08:23.791052000	0.15000000000000002	0.0008648949301192462	7	3	flat				COMPLETE
4	1.042441792625162	2020-08-03 21:37:15.665141	2020-08-03 21:45:43.907033	0 days 00:08:28.241892000	0.45	0.0008235453348324354	9	3					COMPLETE
5	1.0505752168812905	2020-08-03 21:45:43.907592	2020-08-03 21:56:38.286995	0 days 00:10:54.379403000	0.1	1.609372124406089e-05	6	3		pyramid_4			COMPLETE
6	1.080699397024461	2020-08-03 21:56:38.287507	2020-08-03 22:05:02.731952	0 days 00:08:24.444445000		0.00017918454886721387	8	1					COMPLETE
7	1.0792915993904968	2020-08-03 22:05:02.732410	2020-08-03 22:13:36.559491	0 days 00:08:33.827081000		0.0005352285942894104	7	1					COMPLETE
8	1.064527451280722	2020-08-03 22:13:36.559968	2020-08-03 22:21:28.970740	0 days 00:07:52.410772000	0.5	0.0017633583878302146	6	2				flat	COMPLETE
9	1.0591878953020588	2020-08-03 22:21:28.971245	2020-08-03 22:32:29.929736	0 days 00:11:00.958491000	0.25	1.6136831835713344e-05	7	2				flat	COMPLETE
10	inf	2020-08-03 22:32:29.930234	2020-08-03 22:35:12.126551	0 days 00:02:42.196317000	0.5	0.022500889837784244	10	3					COMPLETE
11	1.041596786367283	2020-08-03 22:35:12.127081	2020-08-03 22:43:56.515163	0 days 00:08:44.388082000	0.25	0.0015223718597260744	10	3					COMPLETE
12	inf	2020-08-03 22:43:56.515685	2020-08-03 22:47:11.218640	0 days 00:03:14.702955000	0.35000000000000003	0.007046732844853304	10	3					COMPLETE
13	1.04372270703011	2020-08-03 22:47:11.219189	2020-08-03 22:55:40.777071	0 days 00:08:29.557882000	0.35000000000000003	0.002089464619573603	9	3					COMPLETE
14	1.044566192332428	2020-08-03 22:55:40.777629	2020-08-03 23:04:44.436548	0 days 00:09:03.658919000	0.4	0.0003576872879935449	9	3					COMPLETE
15	inf	2020-08-03 23:04:44.437113	2020-08-03 23:07:26.947756	0 days 00:02:42.510643000	0.2	0.026793878155382547	9	2			flat		COMPLETE
16	1.0695182233511225	2020-08-03 23:07:26.948316	2020-08-03 23:17:14.196643	0 days 00:09:47.248327000	0.0	0.004530870687656102	10	3					COMPLETE
17	1.0637268627317393	2020-08-03 23:17:14.197204	2020-08-03 23:25:41.580631	0 days 00:08:27.383427000	0.30000000000000004	0.0011509109103258397	9	2			pyramid_2		COMPLETE
18	1.04524971079146	2020-08-03 23:25:41.581127	2020-08-03 23:33:53.199172	0 days 00:08:11.618045000	0.45	0.0002751336493385642	10	3					COMPLETE
19	1.0707815344038005	2020-08-03 23:33:53.199694	2020-08-03 23:46:55.447283	0 days 00:13:02.247589000	0.25	0.010355880090529183	9	3					COMPLETE
20	1.0501453547418271	2020-08-03 23:46:55.447762	2020-08-03 23:55:22.695040	0 days 00:08:27.247278000	0.4	5.497480378604369e-05	10	2					COMPLETE
21	1.0504700715242463	2020-08-03 23:55:22.695538	2020-08-04 00:03:20.357849	0 days 00:07:57.662311000	0.35000000000000003	0.001949571778986403	9	3					COMPLETE
22	1.0475157474719015	2020-08-04 00:03:20.358314	2020-08-04 00:11:37.479772	0 days 00:08:17.121458000	0.30000000000000004	0.002666580862378171	9	3					COMPLETE
23	1.042392980754764	2020-08-04 00:11:37.480347	2020-08-04 00:20:02.319291	0 days 00:08:24.838944000	0.4	0.000840920096923098	9	3					COMPLETE
24	1.0453263032817588	2020-08-04 00:20:02.319828	2020-08-04 00:28:44.983007	0 days 00:08:42.663179000	0.45	0.0006772721993404911	10	3					COMPLETE
