number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	1.2319811351743686	2020-08-04 00:38:44.273498	2020-08-04 00:47:49.917426	0 days 00:09:05.643928000	0.30000000000000004	1.1476706990054306e-05	9	3				COMPLETE
1	1.2534527241226603	2020-08-04 00:47:49.918058	2020-08-04 00:56:12.257431	0 days 00:08:22.339373000	0.25	0.0011352786482028618	8	2			pyramid_2	COMPLETE
2	1.2317218341754756	2020-08-04 00:56:12.257992	2020-08-04 01:06:09.520820	0 days 00:09:57.262828000	0.45	2.4243702896386056e-05	6	3		flat		COMPLETE
3	inf	2020-08-04 01:06:09.521427	2020-08-04 01:08:52.546691	0 days 00:02:43.025264000	0.0	0.0284077614277635	10	3				COMPLETE
4	1.2329477806714189	2020-08-04 01:08:52.547269	2020-08-04 01:16:57.544286	0 days 00:08:04.997017000	0.5	5.24801246560173e-05	9	3				COMPLETE
5	1.2556115692049519	2020-08-04 01:16:57.544795	2020-08-04 01:25:17.431144	0 days 00:08:19.886349000	0.0	0.006214629779055087	8	2			flat	COMPLETE
6	1.2362324140406318	2020-08-04 01:25:17.431698	2020-08-04 01:38:12.441560	0 days 00:12:55.009862000		0.00010904043611715778	7	1				COMPLETE
7	1.2335197272493008	2020-08-04 01:38:12.442126	2020-08-04 01:47:29.094148	0 days 00:09:16.652022000	0.1	2.1279763798446942e-05	8	2			flat	COMPLETE
8	1.232626798387872	2020-08-04 01:47:29.094727	2020-08-04 02:00:43.918343	0 days 00:13:14.823616000		0.0006318035176419237	10	1				COMPLETE
9	1.235770477990638	2020-08-04 02:00:43.918885	2020-08-04 02:13:10.912675	0 days 00:12:26.993790000		0.004055200622850237	8	1				COMPLETE
10	1.231480612095374	2020-08-04 02:13:10.913231	2020-08-04 02:21:38.227934	0 days 00:08:27.314703000	0.5	0.00012968522353594904	6	3		flat		COMPLETE
11	1.2318298264142835	2020-08-04 02:21:38.228533	2020-08-04 02:29:33.611840	0 days 00:07:55.383307000	0.5	0.00011246199790830221	6	3		flat		COMPLETE
12	1.2308253249393717	2020-08-04 02:29:33.612406	2020-08-04 02:37:28.438785	0 days 00:07:54.826379000	0.4	0.00016405352458483967	6	3		flat		COMPLETE
13	1.2469670732716973	2020-08-04 02:37:28.439284	2020-08-04 02:45:27.797658	0 days 00:07:59.358374000	0.4	0.00020953734313680468	6	3		pyramid_2		COMPLETE
14	1.248006650980503	2020-08-04 02:45:27.798251	2020-08-04 02:53:45.767573	0 days 00:08:17.969322000	0.35000000000000003	0.0002860946345367339	7	2			pyramid_4	COMPLETE
15	1.2455786247040486	2020-08-04 02:53:45.768137	2020-08-04 03:02:10.923866	0 days 00:08:25.155729000	0.4	0.0014565291364271868	7	3	flat			COMPLETE
16	1.2329069070847383	2020-08-04 03:02:10.924462	2020-08-04 03:10:29.720673	0 days 00:08:18.796211000	0.5	4.989193619600048e-05	6	2			pyramid_2	COMPLETE
17	1.250615914931002	2020-08-04 03:10:29.721265	2020-08-04 03:18:55.971526	0 days 00:08:26.250261000	0.15000000000000002	0.0002988085234466784	7	3	pyramid_2			COMPLETE
18	1.2390537976783307	2020-08-04 03:18:55.972097	2020-08-04 03:27:24.544741	0 days 00:08:28.572644000	0.35000000000000003	8.52105380503113e-05	6	3		pyramid_4		COMPLETE
19	1.2437067620970286	2020-08-04 03:27:24.545328	2020-08-04 03:35:42.949191	0 days 00:08:18.403863000	0.45	0.0005341144386608787	7	2			pyramid_4	COMPLETE
20	1.23184101834482	2020-08-04 03:35:42.949780	2020-08-04 03:44:28.174637	0 days 00:08:45.224857000	0.2	2.8261075310685544e-05	6	3		flat		COMPLETE
21	1.2303358119097143	2020-08-04 03:44:28.175213	2020-08-04 03:56:02.100639	0 days 00:11:33.925426000	0.45	1.1529726294889147e-05	6	3		flat		COMPLETE
22	1.2304035481332494	2020-08-04 03:56:02.101228	2020-08-04 04:07:46.159309	0 days 00:11:44.058081000	0.45	1.1220698880008689e-05	6	3		flat		COMPLETE
23	1.2304641820627098	2020-08-04 04:07:46.159892	2020-08-04 04:16:37.989287	0 days 00:08:51.829395000	0.4	1.22318795011521e-05	7	3	pyramid_2			COMPLETE
24	1.2305027808010736	2020-08-04 04:16:37.989828	2020-08-04 04:25:27.606358	0 days 00:08:49.616530000	0.45	1.2272695103549065e-05	7	3	pyramid_2			COMPLETE
