number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.028947284969279	2020-07-29 12:26:40.622397	2020-07-29 12:43:41.972803	0 days 00:17:01.350406000	0.25	1.3582818701868155e-05	10	3				COMPLETE
1	1.032064373394231	2020-07-29 12:43:41.973315	2020-07-29 12:59:21.592607	0 days 00:15:39.619292000	0.25	3.4628523693697316e-05	8	2			pyramid_4	COMPLETE
2	1.0324873484646861	2020-07-29 12:59:21.593130	2020-07-29 13:12:08.842972	0 days 00:12:47.249842000	0.05	4.490754424706552e-05	9	2		flat		COMPLETE
3	1.0336593372159917	2020-07-29 13:12:08.843496	2020-07-29 13:30:28.188884	0 days 00:18:19.345388000	0.5	0.0006823972994512436	7	3	flat			COMPLETE
4	1.0315860134156196	2020-07-29 13:30:28.189407	2020-07-29 13:52:38.997040	0 days 00:22:10.807633000	0.4	0.0005197962673520309	7	2			pyramid_4	COMPLETE
5	1.034687674490083	2020-07-29 13:52:39.037228	2020-07-29 14:07:31.807456	0 days 00:14:52.770228000	0.2	0.0013322569221735348	8	2			flat	COMPLETE
6	1.0287779599300588	2020-07-29 14:07:31.807971	2020-07-29 14:21:31.776811	0 days 00:13:59.968840000	0.5	0.00021385785014891497	9	3				COMPLETE
7	1.0347217291194133	2020-07-29 14:21:31.777338	2020-07-29 14:36:03.900846	0 days 00:14:32.123508000	0.5	0.001684735903018604	8	3	pyramid_2			COMPLETE
8	1.071224002079615	2020-07-29 14:36:03.901362	2020-07-29 15:15:26.322647	0 days 00:39:22.421285000		1.2716864736481299e-05	7	1				COMPLETE
9	1.0727177119536742	2020-07-29 15:15:26.323144	2020-07-29 15:35:00.149879	0 days 00:19:33.826735000		0.0005769599012913652	8	1				COMPLETE
10	inf	2020-07-29 15:35:00.150354	2020-07-29 15:37:26.090943	0 days 00:02:25.940589000	0.4	0.018020433574754625	10	3				COMPLETE
11	1.0291116061733736	2020-07-29 15:37:26.091441	2020-07-29 15:47:55.223160	0 days 00:10:29.131719000	0.0	0.00010846657156271869	10	3				COMPLETE
12	1.0289131251880548	2020-07-29 15:47:55.223654	2020-07-29 16:07:16.294555	0 days 00:19:21.070901000	0.2	1.199487587166332e-05	9	3				COMPLETE
13	inf	2020-07-29 16:07:16.295067	2020-07-29 16:10:51.675212	0 days 00:03:35.380145000	0.15000000000000002	0.007264297350264261	9	3				COMPLETE
14	1.0277843050261826	2020-07-29 16:10:51.692285	2020-07-29 16:23:56.835339	0 days 00:13:05.143054000	0.35000000000000003	0.00011699723268000302	9	3				COMPLETE
15	1.0314632145680602	2020-07-29 16:23:56.835839	2020-07-29 16:38:33.308251	0 days 00:14:36.472412000	0.4	0.00014711356065434919	9	2		pyramid_2		COMPLETE
16	1.0276017966054054	2020-07-29 16:38:33.308742	2020-07-29 16:52:10.985275	0 days 00:13:37.676533000	0.35000000000000003	0.00016661786598344466	9	3				COMPLETE
17	1.028597640919032	2020-07-29 16:52:10.985778	2020-07-29 17:08:21.996068	0 days 00:16:11.010290000	0.35000000000000003	3.6831634307270845e-05	10	3				COMPLETE
18	1.033325522195388	2020-07-29 17:08:21.996602	2020-07-29 17:28:57.769135	0 days 00:20:35.772533000	0.30000000000000004	8.804461782402658e-05	6	2			pyramid_2	COMPLETE
19	1.0725603418509873	2020-07-29 17:28:57.769643	2020-07-29 17:48:20.356267	0 days 00:19:22.586624000		0.0003240322854993682	9	1				COMPLETE
20	inf	2020-07-29 17:48:20.356753	2020-07-29 17:57:12.760501	0 days 00:08:52.403748000	0.35000000000000003	0.0022125323390447264	10	3				COMPLETE
21	1.0287657526640586	2020-07-29 17:57:12.760989	2020-07-29 18:13:35.009176	0 days 00:16:22.248187000	0.35000000000000003	4.6357787579850556e-05	10	3				COMPLETE
22	1.027930253520474	2020-07-29 18:13:35.009694	2020-07-29 18:28:20.668264	0 days 00:14:45.658570000	0.35000000000000003	3.385680682407821e-05	9	3				COMPLETE
23	1.0275570661717182	2020-07-29 18:28:20.668885	2020-07-29 18:44:46.255342	0 days 00:16:25.586457000	0.45	7.565208424995555e-05	9	3				COMPLETE
24	1.0284706941975854	2020-07-29 18:44:46.255840	2020-07-29 18:58:39.495542	0 days 00:13:53.239702000	0.45	0.0002517999271654495	9	3				COMPLETE
