number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.0608656783803143	2020-07-29 12:26:40.622403	2020-07-29 12:43:48.722570	0 days 00:17:08.100167000	0.2	0.004340501716929978	7	2				flat	COMPLETE
1	1.031991584471564	2020-07-29 12:43:48.723122	2020-07-29 13:02:29.362489	0 days 00:18:40.639367000	0.35000000000000003	0.0005842980591657979	9	3					COMPLETE
2	1.095823381125288	2020-07-29 13:02:29.363017	2020-07-29 13:09:42.672038	0 days 00:07:13.309021000		0.00663649612705851	8	1					COMPLETE
3	inf	2020-07-29 13:09:42.672542	2020-07-29 13:12:05.164619	0 days 00:02:22.492077000		0.008177902245157591	10	1					COMPLETE
4	1.0718620995760633	2020-07-29 13:12:05.165115	2020-07-29 13:55:30.716217	0 days 00:43:25.551102000		1.5472267093012604e-05	6	1					COMPLETE
5	1.033026755728307	2020-07-29 13:55:30.716741	2020-07-29 14:07:29.725764	0 days 00:11:59.009023000	0.25	0.0001887292034555904	8	2				pyramid_4	COMPLETE
6	1.0354431771922343	2020-07-29 14:07:29.726289	2020-07-29 14:38:49.521647	0 days 00:31:19.795358000	0.5	3.805976151464035e-05	7	2				flat	COMPLETE
7	1.04187687078845	2020-07-29 14:38:49.522181	2020-07-29 14:51:13.332682	0 days 00:12:23.810501000	0.35000000000000003	0.0026337112368855424	9	2			flat		COMPLETE
8	1.0328155433499782	2020-07-29 14:51:13.333201	2020-07-29 15:04:18.426296	0 days 00:13:05.093095000	0.35000000000000003	6.743442877756146e-05	9	2			pyramid_2		COMPLETE
9	1.0818894176883207	2020-07-29 15:04:18.447741	2020-07-29 15:11:28.665455	0 days 00:07:10.217714000		0.0015747739180187294	10	1					COMPLETE
10	inf	2020-07-29 15:11:28.665949	2020-07-29 15:13:48.423033	0 days 00:02:19.757084000	0.0	0.028724274011419856	9	3					COMPLETE
11	1.0295405251590082	2020-07-29 15:13:48.423543	2020-07-29 15:27:10.630217	0 days 00:13:22.206674000	0.45	0.00021612735604789384	9	3					COMPLETE
12	1.0354067472283082	2020-07-29 15:27:10.630710	2020-07-29 15:47:36.126445	0 days 00:20:25.495735000	0.5	0.0005101430052157388	9	3					COMPLETE
13	1.0330836203451346	2020-07-29 15:47:36.126953	2020-07-29 16:01:48.282263	0 days 00:14:12.155310000	0.4	0.0004113156545371747	10	3					COMPLETE
14	1.028629613867361	2020-07-29 16:01:48.282764	2020-07-29 16:20:46.052379	0 days 00:18:57.769615000	0.45	0.00014913849872904157	8	3	flat				COMPLETE
15	1.0314201179012268	2020-07-29 16:20:46.065242	2020-07-29 16:43:10.741488	0 days 00:22:24.676246000	0.5	0.00010634240514394916	7	3	flat				COMPLETE
16	1.0296331477606095	2020-07-29 16:43:10.742015	2020-07-29 17:14:05.443894	0 days 00:30:54.701879000	0.45	2.0459522037486923e-05	8	3	flat				COMPLETE
17	1.029158238744644	2020-07-29 17:14:05.444442	2020-07-29 17:27:28.084679	0 days 00:13:22.640237000	0.2	0.00019386075340624285	6	3		pyramid_2			COMPLETE
18	1.0313212976518744	2020-07-29 17:27:28.106078	2020-07-29 17:40:13.012200	0 days 00:12:44.906122000	0.1	0.001301631491215894	6	3		pyramid_2			COMPLETE
19	1.0296399235414047	2020-07-29 17:40:13.012761	2020-07-29 17:54:24.774865	0 days 00:14:11.762104000	0.2	4.693253128474422e-05	7	3	pyramid_2				COMPLETE
20	1.0342725095852938	2020-07-29 17:54:24.775399	2020-07-29 18:08:36.198711	0 days 00:14:11.423312000	0.1	0.00015622579317979394	6	2				pyramid_2	COMPLETE
21	1.0287165286665987	2020-07-29 18:08:36.199243	2020-07-29 18:22:16.163668	0 days 00:13:39.964425000	0.25	0.00021328926154601146	8	3	flat				COMPLETE
22	1.0291406891445438	2020-07-29 18:22:16.164191	2020-07-29 18:35:46.085408	0 days 00:13:29.921217000	0.25	0.00031786697368209224	8	3	flat				COMPLETE
23	1.0329356235745235	2020-07-29 18:35:46.110190	2020-07-29 18:46:04.650120	0 days 00:10:18.539930000	0.30000000000000004	0.0008884782864370534	8	3	flat				COMPLETE
24	1.0296932361720583	2020-07-29 18:46:04.650659	2020-07-29 18:57:41.627718	0 days 00:11:36.977059000	0.15000000000000002	0.0003394898679815389	8	3	flat				COMPLETE
