number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	1.0352181060938395	2020-07-29 13:08:42.514419	2020-07-29 13:24:36.313493	0 days 00:15:53.799074000	0.05	0.001131786572916633	8	2			flat	COMPLETE
1	1.0735389421175143	2020-07-29 13:24:36.314054	2020-07-29 13:49:17.092528	0 days 00:24:40.778474000		9.201428267275535e-05	7	1				COMPLETE
2	1.0352701689091073	2020-07-29 13:49:17.093054	2020-07-29 14:02:49.798677	0 days 00:13:32.705623000	0.30000000000000004	0.003718438551378835	6	3		pyramid_4		COMPLETE
3	inf	2020-07-29 14:02:49.799219	2020-07-29 14:05:48.341408	0 days 00:02:58.542189000	0.35000000000000003	0.0062841132124044205	9	3				COMPLETE
4	inf	2020-07-29 14:05:48.341929	2020-07-29 14:09:38.528913	0 days 00:03:50.186984000	0.1	0.006414462053602878	9	3				COMPLETE
5	1.032259257291659	2020-07-29 14:09:38.529460	2020-07-29 14:20:18.427211	0 days 00:10:39.897751000	0.2	0.0004963801923557411	10	3				COMPLETE
6	1.030789348860365	2020-07-29 14:20:18.427729	2020-07-29 15:13:25.595700	0 days 00:53:07.167971000	0.5	1.1016039073557457e-05	6	3		pyramid_2		COMPLETE
7	1.0746351896927382	2020-07-29 15:13:25.596237	2020-07-29 15:35:28.509056	0 days 00:22:02.912819000		0.000959861552071594	7	1				COMPLETE
8	1.0379837937546543	2020-07-29 15:35:28.545290	2020-07-29 16:16:20.539787	0 days 00:40:51.994497000	0.45	2.9864264259124414e-05	6	2			flat	COMPLETE
9	1.0386110851199184	2020-07-29 16:16:20.540308	2020-07-29 16:28:39.143499	0 days 00:12:18.603191000	0.05	0.004134956619442857	7	2			pyramid_2	COMPLETE
10	1.0310568312225075	2020-07-29 16:28:39.144013	2020-07-29 17:01:01.883917	0 days 00:32:22.739904000	0.5	1.5847927402742894e-05	6	3		pyramid_2		COMPLETE
11	1.030854112119394	2020-07-29 17:01:01.884449	2020-07-29 17:42:22.805692	0 days 00:41:20.921243000	0.45	1.0978280198086764e-05	6	3		pyramid_2		COMPLETE
12	1.0293284238060103	2020-07-29 17:42:22.823580	2020-07-29 18:03:57.472511	0 days 00:21:34.648931000	0.45	6.56512988097146e-05	6	3		pyramid_2		COMPLETE
13	1.0330897676565098	2020-07-29 18:03:57.473367	2020-07-29 18:22:02.699927	0 days 00:18:05.226560000	0.4	7.492104421822794e-05	7	2			pyramid_4	COMPLETE
14	1.029928711614552	2020-07-29 18:22:02.700457	2020-07-29 18:38:25.673086	0 days 00:16:22.972629000	0.5	0.0001659895706949872	8	3	pyramid_2			COMPLETE
15	1.0341406031185842	2020-07-29 18:38:25.673629	2020-07-29 18:52:38.976558	0 days 00:14:13.302929000	0.2	0.00019316872889771567	8	2			pyramid_2	COMPLETE
16	1.0303842239242136	2020-07-29 18:52:38.977084	2020-07-29 19:09:10.426984	0 days 00:16:31.449900000	0.5	0.0001997828634877609	9	3				COMPLETE
17	1.029768772238538	2020-07-29 19:09:10.428048	2020-07-29 19:22:24.757097	0 days 00:13:14.329049000	0.35000000000000003	3.932051955886672e-05	8	3	pyramid_2			COMPLETE
18	1.033486350680985	2020-07-29 19:22:24.757609	2020-07-29 19:35:58.483297	0 days 00:13:33.725688000	0.30000000000000004	4.5258300529899265e-05	10	2				COMPLETE
19	inf	2020-07-29 19:35:58.483828	2020-07-29 19:38:16.655338	0 days 00:02:18.171510000		0.02762276620961169	9	1				COMPLETE
20	1.0300457387105595	2020-07-29 19:38:16.655851	2020-07-29 20:01:51.256826	0 days 00:23:34.600975000	0.4	2.234846700371627e-05	8	3	flat			COMPLETE
21	1.0296999014178954	2020-07-29 20:01:51.266286	2020-07-29 20:17:00.606136	0 days 00:15:09.339850000	0.4	0.00011526107992808654	8	3	pyramid_2			COMPLETE
22	1.0294109511917318	2020-07-29 20:17:00.606656	2020-07-29 20:29:43.872151	0 days 00:12:43.265495000	0.35000000000000003	6.578611378480209e-05	8	3	pyramid_2			COMPLETE
23	1.0307955807897382	2020-07-29 20:29:43.872676	2020-07-29 20:43:20.243764	0 days 00:13:36.371088000	0.4	0.00038424722449022794	7	3	pyramid_2			COMPLETE
24	1.0294218876902173	2020-07-29 20:43:20.244298	2020-07-29 20:54:25.981115	0 days 00:11:05.736817000	0.30000000000000004	8.143446798710701e-05	9	3				COMPLETE
