number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.488025304967544	2020-08-03 17:31:01.787183	2020-08-03 17:55:27.732955	0 days 00:24:25.945772000		0.00016529508274737022	6	1				COMPLETE
1	1.4911817258303202	2020-08-03 17:55:27.733492	2020-08-03 18:13:57.129228	0 days 00:18:29.395736000		7.561523379612444e-05	6	1				COMPLETE
2	1.4731996505429248	2020-08-03 18:13:57.129684	2020-08-03 18:49:33.960423	0 days 00:35:36.830739000		0.00026052467839115807	8	1				COMPLETE
3	1.466956529153134	2020-08-03 18:49:33.960853	2020-08-03 19:13:15.445591	0 days 00:23:41.484738000		0.0013147317367052306	7	1				COMPLETE
4	1.4463476905581958	2020-08-03 19:13:15.446071	2020-08-03 19:25:37.164098	0 days 00:12:21.718027000	0.1	0.0011370899119079803	7	2			pyramid_4	COMPLETE
5	1.4976219131952906	2020-08-03 19:25:37.164653	2020-08-03 19:58:15.026854	0 days 00:32:37.862201000		5.682359553047271e-05	7	1				COMPLETE
6	1.4747823321680626	2020-08-03 19:58:15.027329	2020-08-03 20:10:08.909500	0 days 00:11:53.882171000		0.013196483647469968	9	1				COMPLETE
7	1.4564601609598546	2020-08-03 20:10:08.909968	2020-08-03 20:34:15.446389	0 days 00:24:06.536421000	0.30000000000000004	1.1052145835155582e-05	8	2			pyramid_4	COMPLETE
8	1.4463508022518696	2020-08-03 20:34:15.446905	2020-08-03 20:49:26.618671	0 days 00:15:11.171766000	0.45	4.359145471343269e-05	9	3				COMPLETE
9	1.4640493746155572	2020-08-03 20:49:26.619143	2020-08-03 21:01:31.631264	0 days 00:12:05.012121000	0.0	4.650038410374464e-05	10	2				COMPLETE
10	1.4471136390789119	2020-08-03 21:01:31.631787	2020-08-03 21:13:38.834387	0 days 00:12:07.202600000	0.0	0.002766281898279347	7	3	flat			COMPLETE
11	inf	2020-08-03 21:13:38.834901	2020-08-03 21:21:44.007462	0 days 00:08:05.172561000	0.5	0.005790826953755009	10	3				COMPLETE
12	1.4471705742545007	2020-08-03 21:21:44.008038	2020-08-03 21:33:24.760679	0 days 00:11:40.752641000	0.2	0.0007609750073458273	9	3				COMPLETE
13	1.4632817442290653	2020-08-03 21:33:24.761222	2020-08-03 21:57:40.852922	0 days 00:24:16.091700000	0.2	1.0782249967176587e-05	9	2		flat		COMPLETE
14	1.445063260918374	2020-08-03 21:57:40.853445	2020-08-03 22:09:52.519789	0 days 00:12:11.666344000	0.5	0.00043978442675172313	8	3	pyramid_2			COMPLETE
15	1.448636420388893	2020-08-03 22:09:52.520265	2020-08-03 22:23:11.547009	0 days 00:13:19.026744000	0.05	0.00037667062637488583	7	2			pyramid_4	COMPLETE
16	1.4455404616718133	2020-08-03 22:23:11.547492	2020-08-03 22:35:09.460296	0 days 00:11:57.912804000	0.1	0.001685947747119338	8	3	pyramid_2			COMPLETE
17	1.453120643296919	2020-08-03 22:35:09.460770	2020-08-03 22:47:00.793648	0 days 00:11:51.332878000	0.4	0.003878035449086254	8	3	pyramid_2			COMPLETE
18	inf	2020-08-03 22:47:00.794145	2020-08-03 22:54:45.550850	0 days 00:07:44.756705000	0.30000000000000004	0.028644339611695387	8	3	pyramid_2			COMPLETE
19	1.4483810355670887	2020-08-03 22:54:45.551332	2020-08-03 23:06:42.773548	0 days 00:11:57.222216000	0.1	0.002147417952659825	9	3				COMPLETE
20	inf	2020-08-03 23:06:42.774030	2020-08-03 23:15:05.376526	0 days 00:08:22.602496000	0.15000000000000002	0.009165371105853786	8	3	pyramid_2			COMPLETE
21	1.4461396064023977	2020-08-03 23:15:05.377105	2020-08-03 23:27:35.299814	0 days 00:12:29.922709000	0.1	0.0008891596315578678	7	2			pyramid_2	COMPLETE
22	1.4467206426343173	2020-08-03 23:27:35.300353	2020-08-03 23:40:59.207140	0 days 00:13:23.906787000	0.1	0.0005485700956698792	6	2			pyramid_2	COMPLETE
23	1.4476976463687619	2020-08-03 23:40:59.207679	2020-08-03 23:52:48.488590	0 days 00:11:49.280911000	0.25	0.001457098038860537	7	3	pyramid_2			COMPLETE
24	1.4539977575645704	2020-08-03 23:52:48.489100	2020-08-04 00:06:06.466706	0 days 00:13:17.977606000	0.15000000000000002	0.0001583843476962824	8	2			flat	COMPLETE
