number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	1.1614948473419964	2020-08-04 02:06:47.378480	2020-08-04 02:22:39.882711	0 days 00:15:52.504231000		1.707936807097384e-05	10	1			COMPLETE
1	1.1194127672103793	2020-08-04 02:22:39.883261	2020-08-04 02:50:00.450703	0 days 00:27:20.567442000		0.00048609805951856024	6	1			COMPLETE
2	1.174915189653988	2020-08-04 02:50:00.451145	2020-08-04 03:04:53.918202	0 days 00:14:53.467057000		4.5479545894193973e-05	8	1			COMPLETE
3	1.1751645185140336	2020-08-04 03:04:53.918659	2020-08-04 03:19:49.879437	0 days 00:14:55.960778000		0.00010820014251612917	6	1			COMPLETE
4	1.0765221332412935	2020-08-04 03:19:49.879919	2020-08-04 03:34:03.862183	0 days 00:14:13.982264000	0.25	0.00016545075640105687	7	2		pyramid_4	COMPLETE
5	1.1427628076109468	2020-08-04 03:34:03.862729	2020-08-04 03:46:42.203327	0 days 00:12:38.340598000	0.5	0.0015369985794782578	6	2		pyramid_2	COMPLETE
6	1.0733739771771562	2020-08-04 03:46:42.203884	2020-08-04 04:00:07.442575	0 days 00:13:25.238691000	0.15000000000000002	0.0007041768187581191	8	2		pyramid_2	COMPLETE
7	1.0916217329789542	2020-08-04 04:00:07.443098	2020-08-04 04:12:32.185335	0 days 00:12:24.742237000	0.25	0.014861043565203859	7	2		flat	COMPLETE
8	1.1025747240548016	2020-08-04 04:12:32.185881	2020-08-04 04:35:09.736454	0 days 00:22:37.550573000		0.002267990463959644	7	1			COMPLETE
9	1.1330796864750527	2020-08-04 04:35:09.736958	2020-08-04 05:02:42.914377	0 days 00:27:33.177419000		0.00024706769005841396	7	1			COMPLETE
10	1.202408676953425	2020-08-04 05:02:42.914900	2020-08-04 05:15:28.825988	0 days 00:12:45.911088000	0.0	0.022767032040413117	9	3			COMPLETE
11	1.0727031104862799	2020-08-04 05:15:28.826539	2020-08-04 05:28:16.667322	0 days 00:12:47.840783000	0.2	0.001819988190350584	8	3	pyramid_2		COMPLETE
12	1.0788140324468163	2020-08-04 05:28:16.667907	2020-08-04 05:40:46.191446	0 days 00:12:29.523539000	0.05	0.00414559934596652	9	3			COMPLETE
13	1.0713872476036768	2020-08-04 05:40:46.191985	2020-08-04 05:53:37.347055	0 days 00:12:51.155070000	0.15000000000000002	0.0011984200609471353	8	3	pyramid_2		COMPLETE
14	1.082278489550612	2020-08-04 05:53:37.347598	2020-08-04 06:06:43.354929	0 days 00:13:06.007331000	0.35000000000000003	0.007123954673778631	9	3			COMPLETE
15	1.074436571798922	2020-08-04 06:06:43.355465	2020-08-04 06:19:32.227955	0 days 00:12:48.872490000	0.15000000000000002	0.0018571541280666608	8	3	pyramid_2		COMPLETE
16	1.0713177316763063	2020-08-04 06:19:32.228475	2020-08-04 06:32:11.242008	0 days 00:12:39.013533000	0.15000000000000002	0.000699414048062104	10	3			COMPLETE
17	1.0693218762381198	2020-08-04 06:32:11.242514	2020-08-04 06:45:08.305705	0 days 00:12:57.063191000	0.05	0.0006619437924328087	10	3			COMPLETE
18	1.0702954245999208	2020-08-04 06:45:08.306198	2020-08-04 06:59:39.241358	0 days 00:14:30.935160000	0.05	5.951603233704121e-05	10	3			COMPLETE
19	1.1082175801175818	2020-08-04 06:59:39.241888	2020-08-04 07:13:45.169436	0 days 00:14:05.927548000	0.0	1.2601018221699484e-05	10	2			COMPLETE
20	1.0708072364146837	2020-08-04 07:13:45.169933	2020-08-04 07:28:16.995604	0 days 00:14:31.825671000	0.05	4.69176544510962e-05	10	3			COMPLETE
21	1.07099744484218	2020-08-04 07:28:16.996118	2020-08-04 07:43:29.398170	0 days 00:15:12.402052000	0.05	4.268973854444435e-05	10	3			COMPLETE
22	1.0724795126478415	2020-08-04 07:43:29.398688	2020-08-04 07:57:58.263732	0 days 00:14:28.865044000	0.05	5.4840941401349477e-05	9	3			COMPLETE
23	1.0880536212888305	2020-08-04 07:57:58.264279	2020-08-04 08:14:59.061613	0 days 00:17:00.797334000	0.0	2.162714939704662e-05	10	3			COMPLETE
24	1.069773866318221	2020-08-04 08:14:59.062153	2020-08-04 08:28:20.797127	0 days 00:13:21.734974000	0.1	0.0002987475903327902	9	3			COMPLETE
