number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	inf	2020-08-04 00:06:08.276118	2020-08-04 00:14:01.918526	0 days 00:07:53.642408000	0.5	0.027462597381949096	6	3		pyramid_2			COMPLETE
1	1.0369083810906075	2020-08-04 00:14:01.919058	2020-08-04 00:26:54.635570	0 days 00:12:52.716512000	0.30000000000000004	0.0016093046010830132	8	2				flat	COMPLETE
2	1.0287487443439078	2020-08-04 00:26:54.636116	2020-08-04 00:39:14.310882	0 days 00:12:19.674766000	0.0	0.0021862769957394558	10	3					COMPLETE
3	1.0341181939134165	2020-08-04 00:39:14.311347	2020-08-04 00:52:05.140388	0 days 00:12:50.829041000	0.35000000000000003	0.00018080063233479269	10	2					COMPLETE
4	1.0723253329942355	2020-08-04 00:52:05.140918	2020-08-04 01:10:46.232308	0 days 00:18:41.091390000		0.0021959665531359617	6	1					COMPLETE
5	1.0263609734379546	2020-08-04 01:10:46.232757	2020-08-04 01:22:56.360029	0 days 00:12:10.127272000	0.0	0.0022288524319869843	9	3					COMPLETE
6	1.022392223793375	2020-08-04 01:22:56.360478	2020-08-04 01:36:41.483884	0 days 00:13:45.123406000	0.1	7.871182837481252e-05	8	3	pyramid_2				COMPLETE
7	1.158738793414849	2020-08-04 01:36:41.484445	2020-08-04 01:51:54.695385	0 days 00:15:13.210940000		5.0242039313146716e-05	6	1					COMPLETE
8	1.1496427466618235	2020-08-04 01:51:54.695862	2020-08-04 02:04:00.482944	0 days 00:12:05.787082000		6.280672822537397e-05	9	1					COMPLETE
9	1.0659647077048688	2020-08-04 02:04:00.483412	2020-08-04 02:20:50.813237	0 days 00:16:50.329825000		0.007383314201672264	8	1					COMPLETE
10	1.0271078586752498	2020-08-04 02:20:50.813735	2020-08-04 03:04:15.501688	0 days 00:43:24.687953000	0.15000000000000002	1.042849226393191e-05	7	3	pyramid_2				COMPLETE
11	1.0240447185873967	2020-08-04 03:04:15.502216	2020-08-04 03:17:48.837344	0 days 00:13:33.335128000	0.0	0.00031222166758046384	9	3					COMPLETE
12	1.0297857785298297	2020-08-04 03:17:48.837827	2020-08-04 03:30:31.874050	0 days 00:12:43.036223000	0.15000000000000002	0.0003429255767009768	9	2			pyramid_2		COMPLETE
13	1.033898271698678	2020-08-04 03:30:31.874566	2020-08-04 03:51:54.937260	0 days 00:21:23.062694000	0.1	2.6351944124852133e-05	7	3	pyramid_2				COMPLETE
14	1.0340578493688133	2020-08-04 03:51:54.937765	2020-08-04 04:07:00.146887	0 days 00:15:05.209122000	0.0	0.00016237617508904886	9	3					COMPLETE
15	1.0276386531591228	2020-08-04 04:07:00.147401	2020-08-04 04:19:42.497793	0 days 00:12:42.350392000	0.1	0.0005304231888896857	8	2				pyramid_4	COMPLETE
16	1.028001178210315	2020-08-04 04:19:42.498352	2020-08-04 04:49:59.779747	0 days 00:30:17.281395000	0.2	1.437979273065559e-05	7	3	flat				COMPLETE
17	1.0672323069696081	2020-08-04 04:49:59.780346	2020-08-04 05:03:19.469681	0 days 00:13:19.689335000	0.05	8.239520890949817e-05	10	2					COMPLETE
18	1.020535855056211	2020-08-04 05:03:19.470159	2020-08-04 05:16:03.256999	0 days 00:12:43.786840000	0.25	0.00022129371478938847	9	3					COMPLETE
19	1.0267701397552085	2020-08-04 05:16:03.257451	2020-08-04 05:28:07.704363	0 days 00:12:04.446912000	0.4	0.000922126944517041	8	3	pyramid_2				COMPLETE
20	1.0691715180936683	2020-08-04 05:28:07.704830	2020-08-04 05:57:02.245383	0 days 00:28:54.540553000	0.25	2.2487801641948335e-05	7	2				pyramid_2	COMPLETE
21	1.0204147525711533	2020-08-04 05:57:02.245876	2020-08-04 06:09:49.787695	0 days 00:12:47.541819000	0.25	0.0002028573688116726	9	3					COMPLETE
22	1.0194855806091108	2020-08-04 06:09:49.788185	2020-08-04 06:23:40.737142	0 days 00:13:50.948957000	0.25	0.0001231798664439269	9	3					COMPLETE
23	1.0199636125900393	2020-08-04 06:23:40.737672	2020-08-04 06:36:24.784446	0 days 00:12:44.046774000	0.25	0.0002208382120327379	9	3					COMPLETE
24	1.0186245300139338	2020-08-04 06:36:24.784944	2020-08-04 06:50:25.886895	0 days 00:14:01.101951000	0.35000000000000003	0.00012389232492806353	10	3					COMPLETE
