number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.0002754579592321	2020-07-29 22:52:41.778057	2020-07-29 23:35:58.092032	0 days 00:43:16.313975000	0.4	1.974547892628275e-05	8	3	flat			COMPLETE
1	1.0003156710843002	2020-07-29 23:35:58.092643	2020-07-29 23:53:10.352180	0 days 00:17:12.259537000	0.35000000000000003	0.00012108168962229756	8	3	flat			COMPLETE
2	1.004632186347969	2020-07-29 23:53:10.352758	2020-07-30 00:10:49.963982	0 days 00:17:39.611224000	0.4	0.004979857564350854	7	3	flat			COMPLETE
3	1.0448658055387157	2020-07-30 00:10:49.965295	2020-07-30 00:34:24.940896	0 days 00:23:34.975601000		1.4066409905197312e-05	7	1				COMPLETE
4	1.0052064541491013	2020-07-30 00:34:24.941412	2020-07-30 00:54:04.650451	0 days 00:19:39.709039000	0.0	1.94562508636997e-05	9	3				COMPLETE
5	1.01073013854197	2020-07-30 00:54:04.652411	2020-07-30 01:09:33.771878	0 days 00:15:29.119467000	0.1	0.014595213931310943	6	2			flat	COMPLETE
6	1.050779448616117	2020-07-30 01:09:33.772410	2020-07-30 01:20:22.896431	0 days 00:10:49.124021000		0.009170634098664508	6	1				COMPLETE
7	1.0028990830643063	2020-07-30 01:20:22.898032	2020-07-30 01:35:24.403449	0 days 00:15:01.505417000	0.2	0.0017942379369558688	8	3	flat			COMPLETE
8	inf	2020-07-30 01:35:24.403986	2020-07-30 01:44:14.524495	0 days 00:08:50.120509000	0.30000000000000004	0.006519743496634112	10	3				COMPLETE
9	1.046463478836328	2020-07-30 01:44:14.525046	2020-07-30 02:02:48.013674	0 days 00:18:33.488628000		0.0024043296319679885	6	1				COMPLETE
10	1.005424664228099	2020-07-30 02:02:48.015512	2020-07-30 02:17:18.656614	0 days 00:14:30.641102000	0.5	0.00012769868368437654	10	2				COMPLETE
11	1.0055220922064787	2020-07-30 02:17:18.657134	2020-07-30 02:30:38.190390	0 days 00:13:19.533256000	0.4	0.0001354955692474372	8	2			pyramid_4	COMPLETE
12	0.999976954371885	2020-07-30 02:30:38.190920	2020-07-30 02:48:30.883419	0 days 00:17:52.692499000	0.35000000000000003	5.439883170899752e-05	9	3				COMPLETE
13	0.9999675978770641	2020-07-30 02:48:30.883908	2020-07-30 03:17:50.841245	0 days 00:29:19.957337000	0.5	2.9910461428471824e-05	9	3				COMPLETE
14	1.005375285066163	2020-07-30 03:17:50.844606	2020-07-30 03:39:34.764044	0 days 00:21:43.919438000	0.5	5.1857528932549874e-05	9	2		flat		COMPLETE
15	1.0021883496645365	2020-07-30 03:39:34.764533	2020-07-30 03:51:37.367880	0 days 00:12:02.603347000	0.2	0.0005098915162654976	9	3				COMPLETE
16	1.0065678819831365	2020-07-30 03:51:37.368385	2020-07-30 04:09:09.815374	0 days 00:17:32.446989000	0.5	4.502095875604823e-05	9	2		pyramid_2		COMPLETE
17	1.00211585076628	2020-07-30 04:09:09.815861	2020-07-30 04:21:39.472763	0 days 00:12:29.656902000	0.30000000000000004	0.00044420611418227236	10	3				COMPLETE
18	0.9996381774339052	2020-07-30 04:21:39.473258	2020-07-30 04:44:21.173221	0 days 00:22:41.699963000	0.45	5.0389780129845945e-05	9	3				COMPLETE
19	1.0069135548022654	2020-07-30 04:44:21.187511	2020-07-30 05:30:35.720114	0 days 00:46:14.532603000	0.45	1.0987419093360828e-05	10	2				COMPLETE
20	1.0001352377607258	2020-07-30 05:30:35.720606	2020-07-30 05:45:57.350389	0 days 00:15:21.629783000	0.5	0.00033485098923123033	7	3	pyramid_2			COMPLETE
21	0.9996798183662671	2020-07-30 05:45:57.350870	2020-07-30 06:08:56.019507	0 days 00:22:58.668637000	0.45	4.867400438491519e-05	9	3				COMPLETE
22	0.999942890689832	2020-07-30 06:08:56.046969	2020-07-30 06:38:19.523824	0 days 00:29:23.476855000	0.45	2.3795730420265377e-05	9	3				COMPLETE
23	0.9997909203810753	2020-07-30 06:38:19.524329	2020-07-30 06:56:19.490436	0 days 00:17:59.966107000	0.45	8.549854329287738e-05	9	3				COMPLETE
24	1.0005978846546995	2020-07-30 06:56:19.490918	2020-07-30 07:10:41.209111	0 days 00:14:21.718193000	0.45	0.000194856476806246	10	3				COMPLETE
