number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_3	state
0	1.0043212840787805	2020-07-29 21:28:54.479033	2020-07-29 21:41:15.058850	0 days 00:12:20.579817000	0.0	0.000951150672275052	9	3				COMPLETE
1	1.007982672635796	2020-07-29 21:41:15.059363	2020-07-29 21:58:10.135050	0 days 00:16:55.075687000	0.30000000000000004	0.0008314547657267631	7	2			flat	COMPLETE
2	1.0467416097097453	2020-07-29 21:58:10.135596	2020-07-29 22:21:15.589545	0 days 00:23:05.453949000		0.0002917819869117241	6	1				COMPLETE
3	1.0107829691252592	2020-07-29 22:21:15.590052	2020-07-29 22:34:27.395843	0 days 00:13:11.805791000	0.2	0.004245432108067846	10	3				COMPLETE
4	1.0539454264925316	2020-07-29 22:34:27.415998	2020-07-29 22:45:12.386299	0 days 00:10:44.970301000		0.004170959137139655	9	1				COMPLETE
5	1.0536676342395117	2020-07-29 22:45:12.386772	2020-07-29 22:55:36.812963	0 days 00:10:24.426191000		0.0029907202692470328	10	1				COMPLETE
6	1.046201106769869	2020-07-29 22:55:36.813473	2020-07-29 23:15:49.182902	0 days 00:20:12.369429000		1.995941572870213e-05	6	1				COMPLETE
7	1.0076278025742138	2020-07-29 23:15:49.183392	2020-07-29 23:30:00.614587	0 days 00:14:11.431195000	0.4	8.108705146444271e-05	10	2				COMPLETE
8	1.0108535146726156	2020-07-29 23:30:00.615073	2020-07-29 23:47:47.307920	0 days 00:17:46.692847000	0.5	0.0017481147064020153	7	2			pyramid_4	COMPLETE
9	1.0476556328174769	2020-07-29 23:47:47.325311	2020-07-30 00:06:30.091189	0 days 00:18:42.765878000		0.0012851365964917968	8	1				COMPLETE
10	1.003654155215729	2020-07-30 00:06:30.091687	2020-07-30 00:19:22.143874	0 days 00:12:52.052187000	0.0	0.0001621226269537257	9	3				COMPLETE
11	inf	2020-07-30 00:19:22.144394	2020-07-30 00:26:47.441333	0 days 00:07:25.296939000	0.0	0.024372567204879986	9	3				COMPLETE
12	1.003404887093523	2020-07-30 00:26:47.441827	2020-07-30 00:39:31.997682	0 days 00:12:44.555855000	0.0	0.00014856265263880276	9	3				COMPLETE
13	1.0027437974758129	2020-07-30 00:39:31.998169	2020-07-30 00:53:53.913125	0 days 00:14:21.914956000	0.1	0.00015421497728781557	8	3	flat			COMPLETE
14	1.0021169235341552	2020-07-30 00:53:53.916088	2020-07-30 01:15:35.107753	0 days 00:21:41.191665000	0.15000000000000002	3.671571793679208e-05	8	3	flat			COMPLETE
15	1.0021993936219433	2020-07-30 01:15:35.108303	2020-07-30 01:43:12.732545	0 days 00:27:37.624242000	0.15000000000000002	2.8965454314142148e-05	8	3	flat			COMPLETE
16	1.0080216618894209	2020-07-30 01:43:12.733077	2020-07-30 02:47:32.331233	0 days 01:04:19.598156000	0.15000000000000002	1.92354411102436e-05	7	2			pyramid_2	COMPLETE
17	1.0014858978465815	2020-07-30 02:47:32.349073	2020-07-30 03:12:10.616409	0 days 00:24:38.267336000	0.30000000000000004	4.560084333309808e-05	8	3	flat			COMPLETE
18	1.0090196796794664	2020-07-30 03:12:10.616929	2020-07-30 03:55:50.951023	0 days 00:43:40.334094000	0.30000000000000004	4.990804937903711e-05	7	2			flat	COMPLETE
19	1.0019071431049773	2020-07-30 03:55:50.979027	2020-07-30 05:03:02.436183	0 days 01:07:11.457156000	0.4	1.1010371872878568e-05	8	3	flat			COMPLETE
20	1.0012107262421017	2020-07-30 05:03:02.454062	2020-07-30 05:59:43.582861	0 days 00:56:41.128799000	0.45	1.1825745625893992e-05	7	3	pyramid_2			COMPLETE
21	1.0010395379609758	2020-07-30 05:59:43.583391	2020-07-30 07:11:44.945790	0 days 01:12:01.362399000	0.45	1.001828610326974e-05	7	3	pyramid_2			COMPLETE
22	1.0010571352396482	2020-07-30 07:11:44.946696	2020-07-30 08:12:57.245603	0 days 01:01:12.298907000	0.5	1.0637750118643727e-05	7	3	pyramid_2			COMPLETE
23	1.0011417788308379	2020-07-30 08:12:57.246148	2020-07-30 08:57:23.341431	0 days 00:44:26.095283000	0.5	1.1399243195351463e-05	6	3		pyramid_4		COMPLETE
24	1.001125145431032	2020-07-30 08:57:23.361596	2020-07-30 09:42:33.360284	0 days 00:45:09.998688000	0.5	1.180442989794918e-05	6	3		pyramid_4		COMPLETE
