number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	1.0075996976343782	2020-07-29 21:28:54.478705	2020-07-29 21:42:14.098332	0 days 00:13:19.619627000	0.30000000000000004	0.00012467287139598357	9	2			pyramid_2		COMPLETE
1	1.0467908575060172	2020-07-29 21:42:14.098865	2020-07-29 21:57:15.506136	0 days 00:15:01.407271000		2.741233356993729e-05	10	1					COMPLETE
2	1.0469153251305876	2020-07-29 21:57:15.506641	2020-07-29 22:24:03.602329	0 days 00:26:48.095688000		0.0002337574431505758	9	1					COMPLETE
3	1.046788963125983	2020-07-29 22:24:03.602852	2020-07-29 22:53:49.935895	0 days 00:29:46.333043000		0.0002262721316552699	7	1					COMPLETE
4	1.0073960537774291	2020-07-29 22:53:49.958725	2020-07-29 23:09:14.196040	0 days 00:15:24.237315000	0.0	3.217643639298028e-05	8	3	pyramid_2				COMPLETE
5	1.0485286543093442	2020-07-29 23:09:14.196580	2020-07-29 23:26:30.893821	0 days 00:17:16.697241000		0.004138802140288219	6	1					COMPLETE
6	1.0468517649932436	2020-07-29 23:26:30.894326	2020-07-29 23:53:13.998110	0 days 00:26:43.103784000		0.00028508696181009477	7	1					COMPLETE
7	1.0046185838968558	2020-07-29 23:53:13.998622	2020-07-30 00:05:43.612816	0 days 00:12:29.614194000	0.05	0.00015922173173244425	8	3	pyramid_2				COMPLETE
8	1.0074710952495518	2020-07-30 00:05:43.622690	2020-07-30 00:18:31.389365	0 days 00:12:47.766675000	0.25	0.0007976071332930529	8	2				pyramid_4	COMPLETE
9	inf	2020-07-30 00:18:31.389873	2020-07-30 00:29:04.750104	0 days 00:10:33.360231000	0.15000000000000002	0.021050021642816618	10	2					COMPLETE
10	1.0055226530705434	2020-07-30 00:29:04.750627	2020-07-30 00:40:35.863041	0 days 00:11:31.112414000	0.0	0.0012828911589390624	6	3		pyramid_4			COMPLETE
11	1.0053152949529816	2020-07-30 00:40:35.863580	2020-07-30 00:52:20.314935	0 days 00:11:44.451355000	0.0	0.0020672330635731653	6	3		pyramid_4			COMPLETE
12	1.0049114414589144	2020-07-30 00:52:20.315459	2020-07-30 01:06:48.737055	0 days 00:14:28.421596000	0.1	0.0032813106611817703	7	3	flat				COMPLETE
13	inf	2020-07-30 01:06:48.737585	2020-07-30 01:14:40.665275	0 days 00:07:51.927690000	0.15000000000000002	0.01746109970982529	7	3	flat				COMPLETE
14	inf	2020-07-30 01:14:40.665809	2020-07-30 01:26:44.264485	0 days 00:12:03.598676000	0.5	0.0054154956116510165	8	3	flat				COMPLETE
15	1.0035031379927266	2020-07-30 01:26:44.265325	2020-07-30 01:42:31.013680	0 days 00:15:46.748355000	0.1	5.8891249223211176e-05	9	3					COMPLETE
16	1.0121598942356578	2020-07-30 01:42:31.014170	2020-07-30 02:48:54.215874	0 days 01:06:23.201704000	0.1	1.0150974924021412e-05	9	2			flat		COMPLETE
17	1.0016410200003765	2020-07-30 02:48:54.216386	2020-07-30 03:06:50.575457	0 days 00:17:56.359071000	0.35000000000000003	7.836033885088767e-05	9	3					COMPLETE
18	1.0081789806168944	2020-07-30 03:06:50.575980	2020-07-30 03:24:40.475474	0 days 00:17:49.899494000	0.4	5.125964261017442e-05	9	2			flat		COMPLETE
19	1.0024602598199257	2020-07-30 03:24:40.475973	2020-07-30 04:00:01.738495	0 days 00:35:21.262522000	0.35000000000000003	1.035862486234124e-05	10	3					COMPLETE
20	1.0022460541338825	2020-07-30 04:00:01.738992	2020-07-30 04:46:37.700339	0 days 00:46:35.961347000	0.4	1.0116426974614147e-05	10	3					COMPLETE
21	1.0021908257123586	2020-07-30 04:46:37.700870	2020-07-30 05:28:41.289852	0 days 00:42:03.588982000	0.4	1.0424110119541844e-05	10	3					COMPLETE
22	1.0020769203081328	2020-07-30 05:28:41.290350	2020-07-30 06:03:44.527243	0 days 00:35:03.236893000	0.45	1.5362203835939904e-05	10	3					COMPLETE
23	1.0018795185125908	2020-07-30 06:03:44.527725	2020-07-30 06:40:12.038751	0 days 00:36:27.511026000	0.5	1.97164981226354e-05	10	3					COMPLETE
24	1.0018866309980061	2020-07-30 06:40:12.068318	2020-07-30 07:15:27.804728	0 days 00:35:15.736410000	0.5	2.0805363405543666e-05	10	3					COMPLETE
